domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;185304;78004;73631;769;879154;242162;0;573;0.923618;262188;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;75504;232776;71816;504;772613;185737;0;480;0.620671;299252;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;164668;56964;59538;611;724732;206209;0;528;0.736732;279897;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;185932;65044;72070;727;792693;234485;0;562;0.798002;293840;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;260054;76690;78516;681;894539;234144;0;562;0.789019;296753;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;208831;68322;50214;461;590995;189675;0;562;0.660226;287288;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;171352;103936;51968;538;564877;127061;0;562;0.434588;292371;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;67586;5493;74768;741;851161;241866;0;572;0.812786;297577;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;240171;101021;54750;492;655777;216799;0;572;0.749409;289293;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;8686;57324;76135;652;824558;252098;0;579;0.866952;290787;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;70116;192949;73562;581;857283;241520;0;579;0.805191;299954;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;62502;51055;50180;286;536664;82851;0;579;0.250461;330794;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;259123;74258;92842;674;1022546;233592;0;579;0.778652;299995;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;155875;101452;68860;783;733551;176371;0;579;0.586562;300686;K*;? Unchecked;v1.6.0-12-g7668b80
