domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;185304;78004;0;769;879154;247317;1;353;0.455829;542566;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;75504;232776;0;504;772613;196170;1;445;0.323585;606239;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;164668;56964;0;611;724732;228307;1;493;0.359484;635097;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;185932;65044;0;727;792693;243869;1;493;0.370743;657784;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;260054;76690;0;681;894539;236339;1;493;0.359992;656512;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;208831;68322;0;461;590995;204416;1;493;0.331254;617097;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;171352;103936;0;538;564877;135716;1;493;0.224585;604297;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;67586;5493;0;741;851161;245131;1;493;0.378084;648350;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;240171;101021;0;492;655777;221056;1;493;0.35409;624294;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;8686;57324;0;652;824558;253459;1;500;0.386043;656557;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;70116;192949;0;581;857283;247300;1;500;0.393287;628803;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;62502;51055;0;286;536664;87784;1;500;0.14738;595629;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;259123;74258;0;674;1022546;236365;1;500;0.381855;618991;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;155875;101452;0;783;733551;189963;1;500;0.306593;619592;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;260290;94483;0;491;770131;212630;1;500;0.331014;642359;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;158172;231849;0;568;720536;173584;1;500;0.286393;606105;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;173317;97062;0;763;887371;218718;1;500;0.34506;633855;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;86025;11504;0;508;799108;150336;1;500;0.235638;637994;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;159691;41106;0;558;549131;111805;1;500;0.18469;605366;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;137601;92107;0;499;610821;225021;1;500;0.359623;625713;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;167163;120829;0;523;614611;162543;1;500;0.259539;626277;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;91132;107074;0;600;706705;146314;1;500;0.2297;636977;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;67727;19338;0;490;755485;130751;1;500;0.207728;629435;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;60442;259746;0;785;1198519;259688;1;500;0.420687;617295;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;103204;263077;0;556;797183;247758;1;500;0.372999;664233;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;207887;73900;0;557;629326;217361;1;500;0.341913;635720;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;158034;38934;0;596;595824;123700;1;500;0.199245;620843;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;119514;262143;0;701;901209;249415;1;548;0.377161;661295;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;133416;95500;0;458;577671;216828;1;548;0.345948;626765;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;222955;118711;0;594;887087;262112;1;500;0.401379;653029;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;174388;6652;0;528;725690;193104;1;538;0.320658;602211;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;66450;155619;0;909;889248;215782;1;540;0.335418;643323;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;41744;256787;0;663;695404;227234;1;548;0.356358;637656;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;246406;117343;0;705;866149;246530;1;548;0.373459;660127;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;159112;109571;0;679;666577;173251;1;548;0.286689;604317;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;154540;118595;0;861;1113101;262153;1;548;0.429761;609997;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;43852;261229;0;563;704441;242455;1;548;0.384187;631086;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;176196;131165;0;681;658472;147226;1;548;0.235328;625621;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;92944;91684;0;812;992807;263942;1;548;0.408871;645538;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;116170;205917;0;590;742407;169430;1;548;0.268188;631759;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;167490;125416;0;607;571150;154707;1;548;0.249722;619518;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;150465;262664;0;627;779318;254665;1;548;0.38959;653674;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;171058;67916;0;791;946881;251997;1;592;0.38176;660093;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;8423;71279;0;613;670164;227225;1;500;0.355644;638911;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;177607;103006;0;884;829013;207118;1;539;0.335175;617939;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;255475;124116;0;591;765988;221752;1;548;0.345642;641566;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;154599;263081;0;580;799601;221401;1;592;0.351228;630363;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;6764;171272;0;614;721030;224984;1;500;0.352109;638961;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;260804;56417;0;650;863239;175317;1;548;0.291735;600945;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;234261;97162;0;423;718580;163923;1;548;0.27943;586634;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;57292;23118;0;378;687581;121168;1;548;0.190997;634397;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;118879;149439;0;620;924432;181668;1;548;0.300931;603686;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;84220;1755;0;1130;1271774;245863;1;548;0.401609;612195;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;119181;221944;0;539;844423;137004;1;548;0.214333;639210;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;252852;48833;0;466;762937;161809;1;548;0.253022;639505;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;118475;144679;0;537;573348;108381;1;548;0.176593;613732;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;210369;91786;0;745;840576;254568;1;500;0.39028;652270;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;127515;243952;0;642;803299;250671;1;500;0.390019;642715;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;183807;73003;0;693;649718;185057;1;585;0.315473;586602;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;234723;214629;0;610;656064;200801;1;500;0.32457;618668;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;107313;88064;0;601;724994;220619;1;588;0.363235;607372;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;250064;58187;0;554;739854;237720;1;500;0.369415;643505;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;212821;191362;0;682;1011852;264063;1;500;0.41436;637279;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;74274;116192;0;622;843750;237678;1;590;0.389253;610600;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;87717;165175;0;649;708826;160153;1;592;0.250712;638793;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;76812;36590;0;383;634375;80702;1;592;0.139174;579865;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;46813;175266;0;604;593802;225082;1;500;0.35861;627651;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;173566;38628;0;588;604507;138797;1;581;0.235718;588828;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;68/1;1;232101;216494;0;516;605071;184798;1;500;0.306005;603905;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;69/1;1;231596;198641;0;441;732336;220937;1;548;0.352778;626278;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;70/1;1;65448;246958;0;662;885746;213281;1;548;0.351551;606686;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;71/1;1;191194;149512;0;679;968035;194907;1;592;0.318205;612520;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;72/1;1;225244;176756;0;503;872522;234804;1;592;0.363098;646669;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;73/1;1;125330;240550;0;459;640398;219183;1;500;0.346071;633346;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;74/1;1;57931;8458;0;705;925756;180353;1;585;0.30411;593051;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;75/1;1;236450;185477;0;646;830757;151134;1;585;0.239386;631339;BELA0;? Unchecked;v1.6.0-12-g7668b80
