domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;185304;78004;73631;769;879154;242161;1;349;0.541015;447605;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;75504;232776;71816;504;772613;185731;1;434;0.374906;495407;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;164668;56964;59538;611;724732;206208;1;451;0.407836;505615;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;185932;65044;72070;727;792693;234484;1;504;0.449632;521502;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;260054;76690;78516;681;894539;234143;1;504;0.443017;528519;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;208831;68322;50214;461;590995;189674;1;504;0.385037;492612;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;171352;103936;51968;538;564877;127058;1;504;0.265179;479141;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;67586;5493;74768;741;851161;241865;1;504;0.451974;535131;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;240171;101021;54750;492;655777;216796;1;504;0.437619;495399;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;8686;57324;76135;652;824558;252097;1;504;0.480372;524796;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;70116;192949;73562;581;857283;241518;1;504;0.453648;532390;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;62502;51055;50180;286;536664;82850;1;504;0.162114;511060;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;259123;74258;92842;674;1022546;233590;1;504;0.456898;511252;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;155875;101452;68860;783;733551;176367;1;504;0.356212;495118;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;260290;94483;61533;491;770133;206433;1;504;0.424722;486043;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;158172;231849;54943;568;720536;161309;1;504;0.313483;514571;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;173317;97062;78103;763;887371;208303;1;504;0.410899;506945;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;86025;11504;58221;508;799108;141950;1;504;0.277964;510678;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;159691;41106;50189;558;549131;105312;1;504;0.217363;484498;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;137601;92107;53164;499;610821;216334;1;504;0.422993;511436;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;167163;120829;51493;527;614736;148844;1;548;0.303572;490309;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;91132;107074;60375;600;706705;135339;1;548;0.261982;516597;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;67727;19338;70467;490;755485;123112;1;548;0.238554;516077;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;60442;259746;107919;785;1198519;258381;1;548;0.505922;510713;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;103204;263077;63416;556;797183;237483;1;548;0.447611;530557;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;207887;73900;53851;557;629326;195710;1;456;0.38966;502258;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;158034;38934;55830;596;595824;115528;1;504;0.239359;482657;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;119514;262143;73910;701;901209;244533;1;504;0.45835;533507;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;133416;95500;50109;458;577671;209569;1;456;0.424409;493790;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;222955;118711;72608;594;887087;257735;1;456;0.491321;524575;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;174388;6652;56370;528;725690;180305;1;504;0.369667;487749;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;66450;155619;78793;909;889248;206796;1;504;0.400941;515777;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;41744;256787;58300;663;695404;216133;1;548;0.427113;506032;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;246406;117343;78910;705;866149;243200;1;548;0.479339;507365;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;159112;109571;58734;679;666577;163181;1;548;0.321188;508054;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;154540;118595;91263;861;1113101;260673;1;548;0.522348;499041;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;43852;261229;56944;563;704441;229096;1;456;0.451928;506930;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;176196;131165;58573;681;658472;136679;1;456;0.28449;480435;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;92944;91684;75895;812;992807;263591;1;456;0.514068;512755;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;116170;205917;64462;590;742407;154812;1;456;0.316803;488670;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;167490;125416;52715;607;571150;144918;1;456;0.304537;475863;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;150465;262664;73062;627;779318;252072;1;456;0.497516;506661;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;171058;67916;73414;791;946881;241471;1;456;0.471621;512002;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;8423;71279;62581;613;670164;213423;1;456;0.451071;473147;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;177607;103006;76801;884;829013;194298;1;456;0.408371;475788;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;255475;124116;67803;591;765988;218113;1;456;0.440482;495169;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;154599;263081;63628;580;799601;202780;1;456;0.412206;491939;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;6764;171272;60387;614;721030;216498;1;456;0.44016;491862;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;260804;56417;76252;650;863239;160498;1;456;0.31794;504805;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;234261;97162;62815;423;718580;148001;1;456;0.298658;495554;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;57292;23118;64402;378;687581;114643;1;456;0.234017;489891;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;118879;149439;78294;620;924432;170658;1;456;0.377481;452096;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;84220;1755;86752;1130;1271774;242592;1;504;0.487945;497171;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;119181;221944;69591;539;844423;121730;1;456;0.239138;509038;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;252852;48833;66374;466;762937;149741;1;456;0.299109;500624;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;118475;144679;51390;537;573348;101456;1;456;0.219887;461401;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;210369;91786;60412;745;840576;249627;1;456;0.486642;512958;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;127515;243952;68344;642;803299;247841;1;456;0.486038;509921;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;183807;73003;59738;693;649718;167100;1;456;0.343729;486138;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;234723;214629;57981;610;656064;189262;1;456;0.398199;475295;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;107313;88064;61248;601;724994;202583;1;456;0.426305;475207;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;250064;58187;66041;554;739854;235335;1;456;0.470091;500615;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;212821;191362;85471;682;1011852;263989;1;456;0.517908;509722;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;74274;116192;73188;622;843750;225857;1;456;0.452266;499389;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;87717;165175;50915;649;708826;148512;1;456;0.308417;481530;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;76812;36590;57332;383;634375;76804;1;456;0.160192;479450;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;46813;175266;55603;604;593802;212019;1;456;0.440936;480838;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;173566;38628;51739;588;604507;130179;1;456;0.272385;477922;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;68/1;1;232101;216494;53981;516;605071;171620;1;456;0.348417;492570;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;69/1;1;231596;198641;62234;441;732336;208712;1;456;0.424903;491199;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;70/1;1;65448;246958;79358;662;885746;205587;1;456;0.447401;459514;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;71/1;1;191194;149512;81626;679;968035;184323;1;456;0.378908;486459;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;72/1;1;225244;176756;60758;503;872522;223814;1;456;0.447999;499586;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;73/1;1;125330;240550;53278;459;640398;207852;1;456;0.42361;490668;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;74/1;1;57931;8458;85176;705;925756;169000;1;456;0.332983;507533;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;75/1;1;236450;185477;64076;646;830757;138033;1;456;0.280567;491979;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;76/1;1;137368;120603;50417;541;584906;208174;1;456;0.427617;486824;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;77/1;1;36645;160209;59540;677;676047;233926;1;456;0.479859;487489;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;78/1;1;82297;241347;75944;763;1087035;212890;1;504;0.445296;478087;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;79/1;1;241913;224579;53683;608;585050;196781;1;456;0.400438;491414;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;80/1;1;236197;52423;57944;530;665773;91230;1;456;0.190887;477926;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;81/1;1;60856;173223;84191;846;962988;238385;1;456;0.465779;511798;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;82/1;1;171246;39037;50762;537;557463;127041;1;456;0.268253;473587;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;83/1;1;97905;170503;69102;640;741005;206117;1;456;0.425836;484029;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;84/1;1;42539;158421;65072;723;719849;230668;1;456;0.477269;483308;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;85/1;1;177597;17343;53949;553;629944;121456;1;456;0.254586;477073;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;86/1;1;219839;230256;54678;563;614310;205421;1;456;0.42542;482866;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;87/1;1;31;148976;59994;554;675470;151463;1;456;0.319008;474793;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;88/1;1;2731;93049;61412;584;794513;182212;1;456;0.372395;489298;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;89/1;1;766;123574;82970;787;940424;212328;1;456;0.443764;478471;BELA*;? Unchecked;v1.6.0-12-g7668b80
