domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;185304;78004;1;315.281;0.108434;PSB;
roadmap;dimacs;1;1;75504;232776;1;315.406;0.141816;PSB;
roadmap;dimacs;2;1;164668;56964;1;315.406;0.0874536;PSB;
roadmap;dimacs;3;1;185932;65044;1;315.406;0.100499;PSB;
roadmap;dimacs;4;1;260054;76690;1;315.406;0.134032;PSB;
roadmap;dimacs;5;1;208831;68322;1;315.406;0.0958617;PSB;
roadmap;dimacs;6;1;171352;103936;1;315.406;0.124088;PSB;
roadmap;dimacs;7;1;67586;5493;1;315.406;0.138509;PSB;
roadmap;dimacs;8;1;240171;101021;1;315.406;0.117543;PSB;
roadmap;dimacs;9;1;8686;57324;1;315.406;0.0981935;PSB;
roadmap;dimacs;10;1;70116;192949;1;315.406;0.0990528;PSB;
roadmap;dimacs;11;1;62502;51055;1;315.406;0.135356;PSB;
roadmap;dimacs;12;1;259123;74258;1;315.406;0.140301;PSB;
roadmap;dimacs;13;1;155875;101452;1;315.406;0.131177;PSB;
roadmap;dimacs;14;1;260290;94483;1;315.406;0.117246;PSB;
roadmap;dimacs;15;1;158172;231849;1;315.406;0.130679;PSB;
roadmap;dimacs;16;1;173317;97062;1;315.406;0.142489;PSB;
roadmap;dimacs;17;1;86025;11504;1;315.406;0.146806;PSB;
roadmap;dimacs;18;1;159691;41106;1;315.406;0.12835;PSB;
roadmap;dimacs;19;1;137601;92107;1;315.406;0.0667481;PSB;
roadmap;dimacs;20;1;167163;120829;1;315.406;0.109561;PSB;
roadmap;dimacs;21;1;91132;107074;1;315.406;0.128267;PSB;
roadmap;dimacs;22;1;67727;19338;1;315.406;0.15573;PSB;
roadmap;dimacs;23;1;60442;259746;1;315.406;0.136063;PSB;
roadmap;dimacs;24;1;103204;263077;1;315.406;0.117514;PSB;
roadmap;dimacs;25;1;207887;73900;1;315.406;0.0688896;PSB;
roadmap;dimacs;26;1;158034;38934;1;315.406;0.135209;PSB;
roadmap;dimacs;27;1;119514;262143;1;315.406;0.130231;PSB;
roadmap;dimacs;28;1;133416;95500;1;315.406;0.0854454;PSB;
roadmap;dimacs;29;1;222955;118711;1;315.406;0.0870581;PSB;
roadmap;dimacs;30;1;174388;6652;1;315.406;0.126118;PSB;
roadmap;dimacs;31;1;66450;155619;1;315.406;0.131956;PSB;
roadmap;dimacs;32;1;41744;256787;1;315.406;0.119096;PSB;
roadmap;dimacs;33;1;246406;117343;1;315.406;0.116384;PSB;
roadmap;dimacs;34;1;159112;109571;1;315.406;0.128793;PSB;
roadmap;dimacs;35;1;154540;118595;1;315.406;0.136267;PSB;
roadmap;dimacs;36;1;43852;261229;1;315.406;0.109721;PSB;
roadmap;dimacs;37;1;176196;131165;1;315.406;0.134838;PSB;
roadmap;dimacs;38;1;92944;91684;1;315.406;0.0939432;PSB;
roadmap;dimacs;39;1;116170;205917;1;315.406;0.142839;PSB;
roadmap;dimacs;40;1;167490;125416;1;315.406;0.116183;PSB;
roadmap;dimacs;41;1;150465;262664;1;315.406;0.0899568;PSB;
roadmap;dimacs;42;1;171058;67916;1;315.406;0.10942;PSB;
roadmap;dimacs;43;1;8423;71279;1;315.406;0.100892;PSB;
roadmap;dimacs;44;1;177607;103006;1;315.406;0.13832;PSB;
roadmap;dimacs;45;1;255475;124116;1;315.406;0.127633;PSB;
roadmap;dimacs;46;1;154599;263081;1;315.406;0.092148;PSB;
roadmap;dimacs;47;1;6764;171272;1;315.406;0.113284;PSB;
roadmap;dimacs;48;1;260804;56417;1;315.406;0.151016;PSB;
roadmap;dimacs;49;1;234261;97162;1;315.406;0.117168;PSB;
roadmap;dimacs;50;1;57292;23118;1;315.406;0.145724;PSB;
roadmap;dimacs;51;1;118879;149439;1;315.406;0.148188;PSB;
roadmap;dimacs;52;1;84220;1755;1;315.406;0.144669;PSB;
roadmap;dimacs;53;1;119181;221944;1;315.406;0.146689;PSB;
roadmap;dimacs;54;1;252852;48833;1;315.406;0.149477;PSB;
roadmap;dimacs;55;1;118475;144679;1;315.406;0.128044;PSB;
roadmap;dimacs;56;1;210369;91786;1;315.406;0.086243;PSB;
roadmap;dimacs;57;1;127515;243952;1;315.406;0.118398;PSB;
roadmap;dimacs;58;1;183807;73003;1;315.406;0.109906;PSB;
roadmap;dimacs;59;1;234723;214629;1;315.406;0.126438;PSB;
roadmap;dimacs;60;1;107313;88064;1;315.406;0.0928621;PSB;
roadmap;dimacs;61;1;250064;58187;1;315.406;0.0991756;PSB;
roadmap;dimacs;62;1;212821;191362;1;315.406;0.106122;PSB;
roadmap;dimacs;63;1;74274;116192;1;315.406;0.10558;PSB;
roadmap;dimacs;64;1;87717;165175;1;315.406;0.124617;PSB;
roadmap;dimacs;65;1;76812;36590;1;315.406;0.137683;PSB;
roadmap;dimacs;66;1;46813;175266;1;315.406;0.078483;PSB;
roadmap;dimacs;67;1;173566;38628;1;315.406;0.134317;PSB;
roadmap;dimacs;68;1;232101;216494;1;315.406;0.13276;PSB;
roadmap;dimacs;69;1;231596;198641;1;315.406;0.129277;PSB;
