domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;185304;78004;1;315.012;0.102739;PSBv2;
roadmap;dimacs;1;1;75504;232776;1;315.281;0.129542;PSBv2;
roadmap;dimacs;2;1;164668;56964;1;315.281;0.0945659;PSBv2;
roadmap;dimacs;3;1;185932;65044;1;315.281;0.102436;PSBv2;
roadmap;dimacs;4;1;260054;76690;1;315.281;0.124912;PSBv2;
roadmap;dimacs;5;1;208831;68322;1;315.281;0.0903919;PSBv2;
roadmap;dimacs;6;1;171352;103936;1;315.281;0.11677;PSBv2;
roadmap;dimacs;7;1;67586;5493;1;315.281;0.120341;PSBv2;
roadmap;dimacs;8;1;240171;101021;1;315.281;0.1054;PSBv2;
roadmap;dimacs;9;1;8686;57324;1;315.281;0.0937258;PSBv2;
roadmap;dimacs;10;1;70116;192949;1;315.281;0.101503;PSBv2;
roadmap;dimacs;11;1;62502;51055;1;315.281;0.127344;PSBv2;
roadmap;dimacs;12;1;259123;74258;1;315.281;0.131306;PSBv2;
roadmap;dimacs;13;1;155875;101452;1;315.281;0.123551;PSBv2;
roadmap;dimacs;14;1;260290;94483;1;315.281;0.111504;PSBv2;
roadmap;dimacs;15;1;158172;231849;1;315.281;0.123246;PSBv2;
roadmap;dimacs;16;1;173317;97062;1;315.281;0.13327;PSBv2;
roadmap;dimacs;17;1;86025;11504;1;315.281;0.140803;PSBv2;
roadmap;dimacs;18;1;159691;41106;1;315.281;0.12237;PSBv2;
roadmap;dimacs;19;1;137601;92107;1;315.281;0.0688987;PSBv2;
roadmap;dimacs;20;1;167163;120829;1;315.281;0.111434;PSBv2;
roadmap;dimacs;21;1;91132;107074;1;315.281;0.120087;PSBv2;
roadmap;dimacs;22;1;67727;19338;1;315.281;0.138717;PSBv2;
roadmap;dimacs;23;1;60442;259746;1;315.281;0.130099;PSBv2;
roadmap;dimacs;24;1;103204;263077;1;315.281;0.125663;PSBv2;
roadmap;dimacs;25;1;207887;73900;1;315.281;0.0644454;PSBv2;
roadmap;dimacs;26;1;158034;38934;1;315.281;0.142021;PSBv2;
roadmap;dimacs;27;1;119514;262143;1;315.281;0.123259;PSBv2;
roadmap;dimacs;28;1;133416;95500;1;315.281;0.0810328;PSBv2;
roadmap;dimacs;29;1;222955;118711;1;315.281;0.0753245;PSBv2;
roadmap;dimacs;30;1;174388;6652;1;315.281;0.120908;PSBv2;
roadmap;dimacs;31;1;66450;155619;1;315.281;0.134259;PSBv2;
roadmap;dimacs;32;1;41744;256787;1;315.281;0.113649;PSBv2;
roadmap;dimacs;33;1;246406;117343;1;315.281;0.111166;PSBv2;
roadmap;dimacs;34;1;159112;109571;1;315.281;0.138639;PSBv2;
roadmap;dimacs;35;1;154540;118595;1;315.281;0.145109;PSBv2;
roadmap;dimacs;36;1;43852;261229;1;315.281;0.105294;PSBv2;
roadmap;dimacs;37;1;176196;131165;1;315.281;0.128968;PSBv2;
roadmap;dimacs;38;1;92944;91684;1;315.281;0.0902909;PSBv2;
roadmap;dimacs;39;1;116170;205917;1;315.281;0.13459;PSBv2;
roadmap;dimacs;40;1;167490;125416;1;315.281;0.109975;PSBv2;
roadmap;dimacs;41;1;150465;262664;1;315.281;0.0859423;PSBv2;
roadmap;dimacs;42;1;171058;67916;1;315.281;0.106208;PSBv2;
roadmap;dimacs;43;1;8423;71279;1;315.281;0.102732;PSBv2;
roadmap;dimacs;44;1;177607;103006;1;315.281;0.131221;PSBv2;
roadmap;dimacs;45;1;255475;124116;1;315.281;0.121036;PSBv2;
roadmap;dimacs;46;1;154599;263081;1;315.281;0.0894305;PSBv2;
roadmap;dimacs;47;1;6764;171272;1;315.281;0.11424;PSBv2;
roadmap;dimacs;48;1;260804;56417;1;315.281;0.146354;PSBv2;
roadmap;dimacs;49;1;234261;97162;1;315.281;0.110964;PSBv2;
roadmap;dimacs;50;1;57292;23118;1;315.281;0.137885;PSBv2;
roadmap;dimacs;51;1;118879;149439;1;315.281;0.142986;PSBv2;
roadmap;dimacs;52;1;84220;1755;1;315.281;0.140816;PSBv2;
roadmap;dimacs;53;1;119181;221944;1;315.281;0.138011;PSBv2;
roadmap;dimacs;54;1;252852;48833;1;315.281;0.13991;PSBv2;
roadmap;dimacs;55;1;118475;144679;1;315.281;0.122975;PSBv2;
roadmap;dimacs;56;1;210369;91786;1;315.281;0.0831327;PSBv2;
roadmap;dimacs;57;1;127515;243952;1;315.281;0.11283;PSBv2;
roadmap;dimacs;58;1;183807;73003;1;315.281;0.103946;PSBv2;
roadmap;dimacs;59;1;234723;214629;1;315.281;0.119829;PSBv2;
roadmap;dimacs;60;1;107313;88064;1;315.281;0.0891102;PSBv2;
roadmap;dimacs;61;1;250064;58187;1;315.281;0.0955722;PSBv2;
roadmap;dimacs;62;1;212821;191362;1;315.281;0.101761;PSBv2;
roadmap;dimacs;63;1;74274;116192;1;315.281;0.101939;PSBv2;
