domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;185304;78004;1;315.168;0.104328;SB*;v2.0-53-g98db238
roadmap;dimacs;1;1;75504;232776;1;315.414;0.130414;SB*;v2.0-53-g98db238
roadmap;dimacs;2;1;164668;56964;1;315.414;0.083269;SB*;v2.0-53-g98db238
roadmap;dimacs;3;1;185932;65044;1;315.414;0.0956601;SB*;v2.0-53-g98db238
roadmap;dimacs;4;1;260054;76690;1;315.414;0.12616;SB*;v2.0-53-g98db238
roadmap;dimacs;5;1;208831;68322;1;315.414;0.0919115;SB*;v2.0-53-g98db238
roadmap;dimacs;6;1;171352;103936;1;315.414;0.118724;SB*;v2.0-53-g98db238
roadmap;dimacs;7;1;67586;5493;1;315.414;0.131299;SB*;v2.0-53-g98db238
roadmap;dimacs;8;1;240171;101021;1;315.414;0.107903;SB*;v2.0-53-g98db238
roadmap;dimacs;9;1;8686;57324;1;315.414;0.0934794;SB*;v2.0-53-g98db238
roadmap;dimacs;10;1;70116;192949;1;315.414;0.0951943;SB*;v2.0-53-g98db238
roadmap;dimacs;11;1;62502;51055;1;315.414;0.131769;SB*;v2.0-53-g98db238
roadmap;dimacs;12;1;259123;74258;1;315.414;0.134339;SB*;v2.0-53-g98db238
roadmap;dimacs;13;1;155875;101452;1;315.414;0.125894;SB*;v2.0-53-g98db238
roadmap;dimacs;14;1;260290;94483;1;315.414;0.112529;SB*;v2.0-53-g98db238
roadmap;dimacs;15;1;158172;231849;1;315.414;0.124683;SB*;v2.0-53-g98db238
roadmap;dimacs;16;1;173317;97062;1;315.414;0.134655;SB*;v2.0-53-g98db238
roadmap;dimacs;17;1;86025;11504;1;315.414;0.139331;SB*;v2.0-53-g98db238
roadmap;dimacs;18;1;159691;41106;1;315.414;0.12225;SB*;v2.0-53-g98db238
roadmap;dimacs;19;1;137601;92107;1;315.414;0.0646855;SB*;v2.0-53-g98db238
roadmap;dimacs;20;1;167163;120829;1;315.414;0.104349;SB*;v2.0-53-g98db238
roadmap;dimacs;21;1;91132;107074;1;315.414;0.121953;SB*;v2.0-53-g98db238
roadmap;dimacs;22;1;67727;19338;1;315.414;0.140813;SB*;v2.0-53-g98db238
roadmap;dimacs;23;1;60442;259746;1;315.414;0.13143;SB*;v2.0-53-g98db238
roadmap;dimacs;24;1;103204;263077;1;315.414;0.113001;SB*;v2.0-53-g98db238
roadmap;dimacs;25;1;207887;73900;1;315.414;0.0691112;SB*;v2.0-53-g98db238
roadmap;dimacs;26;1;158034;38934;1;315.414;0.137566;SB*;v2.0-53-g98db238
roadmap;dimacs;27;1;119514;262143;1;315.414;0.124422;SB*;v2.0-53-g98db238
roadmap;dimacs;28;1;133416;95500;1;315.414;0.0809229;SB*;v2.0-53-g98db238
roadmap;dimacs;29;1;222955;118711;1;315.414;0.0845744;SB*;v2.0-53-g98db238
roadmap;dimacs;30;1;174388;6652;1;315.414;0.120473;SB*;v2.0-53-g98db238
roadmap;dimacs;31;1;66450;155619;1;315.414;0.126574;SB*;v2.0-53-g98db238
roadmap;dimacs;32;1;41744;256787;1;315.414;0.115584;SB*;v2.0-53-g98db238
roadmap;dimacs;33;1;246406;117343;1;315.414;0.111444;SB*;v2.0-53-g98db238
roadmap;dimacs;34;1;159112;109571;1;315.414;0.124762;SB*;v2.0-53-g98db238
roadmap;dimacs;35;1;154540;118595;1;315.414;0.132693;SB*;v2.0-53-g98db238
roadmap;dimacs;36;1;43852;261229;1;315.414;0.106042;SB*;v2.0-53-g98db238
roadmap;dimacs;37;1;176196;131165;1;315.414;0.138525;SB*;v2.0-53-g98db238
roadmap;dimacs;38;1;92944;91684;1;315.414;0.090081;SB*;v2.0-53-g98db238
roadmap;dimacs;39;1;116170;205917;1;315.414;0.136836;SB*;v2.0-53-g98db238
roadmap;dimacs;40;1;167490;125416;1;315.414;0.112352;SB*;v2.0-53-g98db238
roadmap;dimacs;41;1;150465;262664;1;315.414;0.0866441;SB*;v2.0-53-g98db238
