domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;185304;78004;770;315.293;49.8602;Yen;v2.0-53-g98db238
roadmap;dimacs;1;1;75504;232776;505;315.48;14.6776;Yen;v2.0-53-g98db238
roadmap;dimacs;2;1;164668;56964;612;315.48;33.9465;Yen;v2.0-53-g98db238
roadmap;dimacs;3;1;185932;65044;728;315.48;60.9252;Yen;v2.0-53-g98db238
roadmap;dimacs;4;1;260054;76690;682;315.48;33.4248;Yen;v2.0-53-g98db238
roadmap;dimacs;5;1;208831;68322;462;315.48;25.3065;Yen;v2.0-53-g98db238
roadmap;dimacs;6;1;171352;103936;539;315.48;24.0744;Yen;v2.0-53-g98db238
roadmap;dimacs;7;1;67586;5493;742;315.48;53.4803;Yen;v2.0-53-g98db238
roadmap;dimacs;8;1;240171;101021;493;315.48;18.2222;Yen;v2.0-53-g98db238
roadmap;dimacs;9;1;8686;57324;653;315.48;49.3581;Yen;v2.0-53-g98db238
roadmap;dimacs;10;1;70116;192949;582;315.48;36.4874;Yen;v2.0-53-g98db238
roadmap;dimacs;11;1;62502;51055;287;315.48;4.8344;Yen;v2.0-53-g98db238
roadmap;dimacs;12;1;259123;74258;675;315.48;48.5859;Yen;v2.0-53-g98db238
roadmap;dimacs;13;1;155875;101452;784;315.48;52.1815;Yen;v2.0-53-g98db238
roadmap;dimacs;14;1;260290;94483;492;315.48;17.0651;Yen;v2.0-53-g98db238
roadmap;dimacs;15;1;158172;231849;569;315.48;27.5833;Yen;v2.0-53-g98db238
roadmap;dimacs;16;1;173317;97062;764;315.48;54.8567;Yen;v2.0-53-g98db238
roadmap;dimacs;17;1;86025;11504;509;315.48;14.6087;Yen;v2.0-53-g98db238
roadmap;dimacs;18;1;159691;41106;559;315.48;19.8082;Yen;v2.0-53-g98db238
roadmap;dimacs;19;1;137601;92107;500;315.48;26.4801;Yen;v2.0-53-g98db238
roadmap;dimacs;20;1;167163;120829;524;315.48;23.2495;Yen;v2.0-53-g98db238
roadmap;dimacs;21;1;91132;107074;601;315.48;20.7533;Yen;v2.0-53-g98db238
roadmap;dimacs;22;1;67727;19338;491;315.48;13.5564;Yen;v2.0-53-g98db238
roadmap;dimacs;23;1;60442;259746;786;315.48;57.1634;Yen;v2.0-53-g98db238
roadmap;dimacs;24;1;103204;263077;557;315.48;30.3379;Yen;v2.0-53-g98db238
roadmap;dimacs;25;1;207887;73900;558;315.48;29.3652;Yen;v2.0-53-g98db238
roadmap;dimacs;26;1;158034;38934;597;315.48;22.3704;Yen;v2.0-53-g98db238
roadmap;dimacs;27;1;119514;262143;702;315.48;46.9338;Yen;v2.0-53-g98db238
roadmap;dimacs;28;1;133416;95500;459;315.48;20.2419;Yen;v2.0-53-g98db238
roadmap;dimacs;29;1;222955;118711;595;315.48;43.1007;Yen;v2.0-53-g98db238
roadmap;dimacs;30;1;174388;6652;529;315.48;23.8843;Yen;v2.0-53-g98db238
roadmap;dimacs;31;1;66450;155619;910;315.48;50.1375;Yen;v2.0-53-g98db238
roadmap;dimacs;32;1;41744;256787;664;315.48;32.1018;Yen;v2.0-53-g98db238
roadmap;dimacs;33;1;246406;117343;706;315.48;48.8339;Yen;v2.0-53-g98db238
roadmap;dimacs;34;1;159112;109571;680;315.48;37.2275;Yen;v2.0-53-g98db238
roadmap;dimacs;35;1;154540;118595;862;315.48;69.344;Yen;v2.0-53-g98db238
roadmap;dimacs;36;1;43852;261229;564;315.48;32.0765;Yen;v2.0-53-g98db238
roadmap;dimacs;37;1;176196;131165;682;315.48;39.5216;Yen;v2.0-53-g98db238
roadmap;dimacs;38;1;92944;91684;813;315.48;51.184;Yen;v2.0-53-g98db238
roadmap;dimacs;39;1;116170;205917;591;315.48;13.2438;Yen;v2.0-53-g98db238
roadmap;dimacs;40;1;167490;125416;608;315.48;30.5575;Yen;v2.0-53-g98db238
roadmap;dimacs;41;1;150465;262664;628;315.48;56.8842;Yen;v2.0-53-g98db238
roadmap;dimacs;42;1;171058;67916;792;315.48;59.394;Yen;v2.0-53-g98db238
roadmap;dimacs;43;1;8423;71279;614;315.48;38.649;Yen;v2.0-53-g98db238
roadmap;dimacs;44;1;177607;103006;885;315.48;68.1315;Yen;v2.0-53-g98db238
roadmap;dimacs;45;1;255475;124116;592;315.48;25.6765;Yen;v2.0-53-g98db238
roadmap;dimacs;46;1;154599;263081;581;315.48;31.1752;Yen;v2.0-53-g98db238
roadmap;dimacs;47;1;6764;171272;615;315.48;22.5852;Yen;v2.0-53-g98db238
roadmap;dimacs;48;1;260804;56417;651;315.48;22.2425;Yen;v2.0-53-g98db238
roadmap;dimacs;49;1;234261;97162;424;315.48;9.18651;Yen;v2.0-53-g98db238
