domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    185304;     78004;0;769;879154;247317;1;0;353;0.440123;561928;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;     75504;    232776;0;504;772613;196170;1;0;445;0.3159;620987;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    164668;     56964;0;611;724732;228307;1;0;493;0.349776;652724;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    185932;     65044;0;727;792693;243869;1;0;493;0.366668;665095;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    260054;     76690;0;681;894539;236339;1;0;493;0.352816;669865;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    208831;     68322;0;461;590995;204416;1;0;493;0.323241;632395;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    171352;    103936;0;538;564877;135716;1;0;493;0.219139;619315;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;     67586;      5493;0;741;851161;245131;1;0;493;0.36521;671205;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    240171;    101021;0;492;655777;221056;1;0;493;0.343293;643928;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;      8686;     57324;0;652;824558;253459;1;0;499;0.378952;668841;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;     70116;    192949;0;581;857283;247300;1;0;499;0.367369;673165;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;     62502;     51055;0;286;536664;87784;1;0;499;0.146084;600914;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    259123;     74258;0;674;1022546;236365;1;0;499;0.369197;640213;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    155875;    101452;0;783;733551;189963;1;0;499;0.310407;611981;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;    260290;     94483;0;491;770131;212630;1;0;499;0.32925;645801;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;    158172;    231849;0;568;720536;173584;1;0;499;0.282686;614053;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    173317;     97062;0;763;887371;218718;1;0;499;0.335115;652665;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;     86025;     11504;0;508;799108;150336;1;0;499;0.233726;643214;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;    159691;     41106;0;558;549131;111805;1;0;499;0.187377;596685;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;    137601;     92107;0;499;610821;225021;1;0;499;0.352339;638649;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;    167163;    120829;0;523;614611;162543;1;0;499;0.255326;636609;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;     91132;    107074;0;600;706705;146314;1;0;499;0.22945;637673;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;     67727;     19338;0;490;755485;130751;1;0;499;0.202363;646120;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;     60442;    259746;0;785;1198519;259688;1;0;499;0.416236;623897;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;    103204;    263077;0;556;797183;247758;1;0;499;0.366914;675249;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    207887;     73900;0;557;629326;217361;1;0;499;0.33834;642433;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;    158034;     38934;0;596;595824;123700;1;0;499;0.199887;618850;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;    119514;    262143;0;701;901209;249415;1;0;499;0.365813;681810;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;    133416;     95500;0;458;577671;216828;1;0;499;0.342818;632487;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;    222955;    118711;0;594;887087;262112;1;0;548;0.395069;663459;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;    174388;      6652;0;528;725690;193104;1;0;548;0.307998;626965;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;     66450;    155619;0;909;889248;215782;1;0;548;0.338552;637368;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;32/1;1;     41744;    256787;0;663;695404;227234;1;0;548;0.349369;650413;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;33/1;1;    246406;    117343;0;705;866149;246530;1;0;548;0.368244;669474;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;34/1;1;    159112;    109571;0;679;666577;173251;1;0;548;0.285774;606252;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;35/1;1;    154540;    118595;0;861;1113101;262153;1;0;548;0.425165;616591;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;36/1;1;     43852;    261229;0;563;704441;242455;1;0;548;0.367629;659509;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;37/1;1;    176196;    131165;0;681;658472;147226;1;0;548;0.234987;626529;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;38/1;1;     92944;     91684;0;812;992807;263942;1;0;548;0.433738;608529;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;39/1;1;    116170;    205917;0;590;742407;169430;1;0;548;0.263074;644038;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;40/1;1;    167490;    125416;0;607;571150;154707;1;0;548;0.246275;628188;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;41/1;1;    150465;    262664;0;627;779318;254665;1;0;548;0.382563;665681;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;42/1;1;    171058;     67916;0;791;946881;251997;1;0;592;0.376668;669015;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;43/1;1;      8423;     71279;0;613;670164;227225;1;0;500;0.349489;650163;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;44/1;1;    177607;    103006;0;884;829013;207118;1;0;539;0.328043;631375;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;45/1;1;    255475;    124116;0;591;765988;221752;1;0;548;0.343583;645410;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;46/1;1;    154599;    263081;0;580;799601;221401;1;0;592;0.341364;648577;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
