domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    185304;     78004;0;769;879154;247317;1;413;0.483741;511259;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;     75504;    232776;0;504;772613;196170;1;509;0.336007;583826;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    164668;     56964;0;611;724732;228307;1;557;0.371902;613891;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    185932;     65044;0;727;792693;243869;1;565;0.389032;626861;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    260054;     76690;0;681;894539;236339;1;565;0.375946;628651;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    208831;     68322;0;461;590995;204416;1;565;0.342885;596164;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    171352;    103936;0;538;564877;135716;1;565;0.233662;580822;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;     67586;      5493;0;741;851161;245131;1;613;0.390484;627762;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    240171;    101021;0;492;655777;221056;1;613;0.361092;612187;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;      8686;     57324;0;652;824558;253459;1;613;0.40319;628634;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     70116;    192949;0;581;857283;247300;1;613;0.387732;637811;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;     62502;     51055;0;286;536664;87784;1;613;0.154707;567421;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    259123;     74258;0;674;1022546;236365;1;613;0.392578;602085;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    155875;    101452;0;783;733551;189963;1;613;0.320174;593312;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    260290;     94483;0;491;770131;212630;1;613;0.376206;565195;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    158172;    231849;0;568;720536;173584;1;613;0.301206;576296;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    173317;     97062;0;763;887371;218718;1;613;0.355611;615049;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;     86025;     11504;0;508;799108;150336;1;613;0.251041;598851;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;    159691;     41106;0;558;549131;111805;1;613;0.19262;580445;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    137601;     92107;0;499;610821;225021;1;613;0.368717;610282;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    167163;    120829;0;523;614611;162543;1;613;0.272757;595927;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;     91132;    107074;0;600;706705;146314;1;613;0.248129;589669;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;     67727;     19338;0;490;755485;130751;1;613;0.214507;609543;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;     60442;    259746;0;785;1198519;259688;1;613;0.43924;591221;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;    103204;    263077;0;556;797183;247758;1;613;0.389305;636411;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    207887;     73900;0;557;629326;217361;1;613;0.358553;606218;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    158034;     38934;0;596;595824;123700;1;613;0.209111;591551;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;    119514;    262143;0;701;901209;249415;1;613;0.391977;636300;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;    133416;     95500;0;458;577671;216828;1;613;0.361345;600058;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    222955;    118711;0;594;887087;262112;1;613;0.415399;630989;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    174388;      6652;0;528;725690;193104;1;619;0.326375;591663;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;     66450;    155619;0;909;889248;215782;1;620;0.350248;616084;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;     41744;    256787;0;663;695404;227234;1;620;0.37148;611700;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    246406;    117343;0;705;866149;246530;1;620;0.394859;624350;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;    159112;    109571;0;679;666577;173251;1;620;0.324558;533806;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;    154540;    118595;0;861;1113101;262153;1;625;0.463513;565578;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;     43852;    261229;0;563;704441;242455;1;625;0.388953;623353;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    176196;    131165;0;681;658472;147226;1;625;0.249692;589630;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;     92944;     91684;0;812;992807;263942;1;625;0.431464;611736;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;    116170;    205917;0;590;742407;169430;1;625;0.286056;592297;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;    167490;    125416;0;607;571150;154707;1;625;0.270492;571948;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;    150465;    262664;0;627;779318;254665;1;625;0.417107;610550;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;    171058;     67916;0;791;946881;251997;1;625;0.400424;629325;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;      8423;     71279;0;613;670164;227225;1;625;0.374715;606394;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;    177607;    103006;0;884;829013;207118;1;625;0.340385;608482;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;    255475;    124116;0;591;765988;221752;1;625;0.362388;611919;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;    154599;    263081;0;580;799601;221401;1;625;0.36144;612553;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;      6764;    171272;0;614;721030;224984;1;625;0.374816;600252;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    260804;     56417;0;650;863239;175317;1;625;0.298826;586685;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;    234261;     97162;0;423;718580;163923;1;625;0.27094;605017;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;     57292;     23118;0;378;687581;121168;1;625;0.203369;595803;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;    118879;    149439;0;620;924432;181668;1;625;0.314425;577778;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
