domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    185304;     78004;73631;769;879154;242165;1;408;0.5656;428156;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;     75504;    232776;71870;504;772613;185732;1;507;0.385294;482052;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    164668;     56964;59538;611;724732;206207;1;517;0.414271;497758;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    185932;     65044;72159;727;792693;234470;1;571;0.465052;504180;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    260054;     76690;78353;681;894539;234140;1;571;0.454103;515610;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;    208831;     68322;50184;461;590995;189673;1;571;0.393445;482082;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    171352;    103936;51933;538;564877;127071;1;571;0.265852;477977;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;     67586;      5493;74688;741;851161;241866;1;571;0.466763;518177;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    240171;    101021;54655;492;655777;216797;1;571;0.458275;473072;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;      8686;     57324;76077;652;824558;252101;1;577;0.486514;518178;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;     70116;    192949;73562;581;857283;241519;1;577;0.464677;519757;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;     62502;     51055;50187;286;536664;82846;1;577;0.186584;444015;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    259123;     74258;92671;674;1022546;233588;1;577;0.469194;497850;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    155875;    101452;68914;783;733551;176364;1;577;0.365177;482955;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    260290;     94483;61579;491;770131;206379;1;577;0.422669;488276;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    158172;    231849;54796;568;720536;161301;1;577;0.324987;496331;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    173317;     97062;78398;763;887371;208293;1;577;0.42001;495924;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;     86025;     11504;58206;508;799108;141965;1;577;0.28531;497582;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;    159691;     41106;50189;558;549131;105314;1;577;0.225064;467930;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    137601;     92107;53174;499;610821;216333;1;577;0.435956;496226;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    167163;    120829;51679;523;614611;148806;1;577;0.305681;486802;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;     91132;    107074;60344;600;706705;135321;1;577;0.276884;488728;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;     67727;     19338;70595;490;755485;123079;1;577;0.247102;498090;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;     60442;    259746;107829;785;1198519;258382;1;577;0.523513;493554;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;    103204;    263077;63489;556;797183;237483;1;619;0.463437;512438;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    207887;     73900;53851;557;629326;195715;1;619;0.409955;477406;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    158034;     38934;55729;596;595824;115541;1;619;0.254955;453183;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;    119514;    262143;73950;701;901209;244534;1;619;0.466934;523701;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;    133416;     95500;50109;458;577671;209569;1;619;0.430662;486620;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    222955;    118711;72395;594;887087;257719;1;619;0.496729;518833;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    174388;      6652;56269;528;725690;180301;1;625;0.376254;479200;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;     66450;    155619;78728;909;889248;206801;1;625;0.411222;502894;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;     41744;    256787;58551;663;695404;216139;1;626;0.434247;497733;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    246406;    117343;78892;705;866149;243205;1;629;0.473795;513313;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;    159112;    109571;58626;679;666577;163179;1;629;0.344001;474356;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;    154540;    118595;91263;861;1113101;260674;1;631;0.526504;495103;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;     43852;    261229;56978;563;704441;229095;1;631;0.460414;497585;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    176196;    131165;58532;681;658472;136693;1;631;0.288111;474445;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;     92944;     91684;75916;812;992807;263590;1;631;0.521875;505083;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;    116170;    205917;64503;590;742407;154809;1;631;0.312054;496097;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;    167490;    125416;52715;607;571150;144926;1;631;0.300171;482811;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;    150465;    262664;73062;627;779318;252071;1;631;0.492593;511722;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;    171058;     67916;73354;791;946881;241484;1;679;0.46986;513948;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;      8423;     71279;62614;613;670164;213416;1;679;0.430365;495895;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;    177607;    103006;76818;884;829013;194311;1;679;0.393459;493854;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;    255475;    124116;67882;591;765988;218104;1;679;0.443563;491710;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;    154599;    263081;63476;580;799601;202819;1;679;0.408374;496650;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;      6764;    171272;60438;614;721030;216500;1;679;0.434881;497837;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    260804;     56417;76252;650;863239;160500;1;679;0.31912;502945;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;    234261;     97162;62830;423;718580;147963;1;679;0.294845;501832;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;     57292;     23118;64412;378;687581;114665;1;679;0.233018;492087;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;    118879;    149439;78391;620;924432;170665;1;679;0.343553;496764;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;52/1;1;     84220;      1755;87119;1130;1271774;242596;1;679;0.503159;482146;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;53/1;1;    119181;    221944;69522;539;844423;121740;1;679;0.239726;507830;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;54/1;1;    252852;     48833;66360;466;762937;149748;1;679;0.300435;498437;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
