domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;185304;78004;73631;769;879154;242161;0;287;0.47933;505207;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;75504;232776;71816;504;772613;185731;0;324;0.340856;544896;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;164668;56964;59538;611;724732;206208;0;357;0.373712;551784;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;185932;65044;72070;727;792693;234484;0;362;0.406967;576175;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;260054;76690;78516;681;894539;234143;0;362;0.40363;580093;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;208831;68322;50214;462;590995;189674;0;362;0.3523;538387;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;171352;103936;51968;538;564877;127058;0;362;0.246969;514469;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;67586;5493;74768;741;851161;241865;0;368;0.416831;580248;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;240171;101021;54750;492;655777;216796;0;368;0.38596;561706;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;8686;57324;76135;651;824558;252097;0;375;0.435058;579456;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;70116;192949;73562;581;857283;241518;0;375;0.415015;581950;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;62502;51055;50180;287;536664;82850;0;375;0.146123;566990;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;259123;74258;92842;674;1022546;233590;0;405;0.42507;549534;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;155875;101452;68860;783;733551;176367;0;405;0.328518;536857;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;260290;94483;61533;492;770133;206433;0;405;0.366711;562932;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;158172;231849;54943;568;720536;161309;0;405;0.288701;558741;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;173317;97062;78103;763;887371;208303;0;405;0.369802;563283;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;86025;11504;58221;508;799108;141950;0;405;0.253467;560033;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;159691;41106;50189;559;549131;105312;0;405;0.196468;536027;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;137601;92107;53164;499;610821;216334;0;422;0.38812;557389;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;167163;120829;51493;528;614736;148844;0;422;0.268822;553689;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;91132;107074;60375;600;706705;135339;0;422;0.238661;567077;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;67727;19338;70467;491;755485;123112;0;422;0.217574;565840;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;60442;259746;107919;786;1198519;258381;0;422;0.453779;569398;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;103204;263077;63416;557;797183;237483;0;422;0.40857;581254;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;207887;73900;53851;557;629326;195710;0;422;0.356887;548380;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;158034;38934;55830;596;595824;115528;0;422;0.213441;541264;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;119514;262143;73910;702;901209;244533;0;422;0.416679;586863;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;133416;95500;50109;458;577671;209569;0;422;0.377685;554878;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;222955;118711;72608;594;887087;257735;0;422;0.444765;579485;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;174388;6652;56370;528;725690;180305;0;422;0.336969;535079;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;66450;155619;78793;909;889248;206796;0;422;0.364584;567211;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;41744;256787;58300;663;695404;216133;0;422;0.390022;554156;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;246406;117343;78910;705;866149;243200;0;422;0.430538;564874;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;159112;109571;58734;679;666577;163181;0;422;0.291389;560012;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;154540;118595;91263;861;1113101;260673;0;422;0.45723;570114;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;43852;261229;56944;563;704441;229096;0;422;0.402813;568740;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;176196;131165;58573;681;658472;136679;0;422;0.24946;547898;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;92944;91684;75895;812;992807;263591;0;422;0.459423;573744;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;116170;205917;64462;590;742407;154812;0;422;0.277541;557798;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;167490;125416;52715;607;571150;144918;0;422;0.269995;536742;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;150465;262664;73062;627;779318;252072;0;422;0.44661;564412;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;171058;67916;73414;791;946881;241471;0;422;0.412711;585086;mA*;? Unchecked;v1.6.0-12-g7668b80
