domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;185304;78004;0;769;879154;247317;0;291;0.405231;610311;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;75504;232776;0;504;772613;196170;0;332;0.290114;676182;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;164668;56964;0;611;724732;228307;0;384;0.32697;698250;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;185932;65044;0;727;792693;243869;0;384;0.334668;728689;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;260054;76690;0;681;894539;236339;0;384;0.325163;726833;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;208831;68322;0;462;590995;204416;0;384;0.306599;666722;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;171352;103936;0;538;564877;135716;0;384;0.200195;677918;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;67586;5493;0;741;851161;245131;0;384;0.335413;730833;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;240171;101021;0;492;655777;221056;0;384;0.312109;708265;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;8686;57324;0;651;824558;253459;0;384;0.349091;726055;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;70116;192949;0;581;857283;247300;0;384;0.3537;699180;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;62502;51055;0;287;536664;87784;0;384;0.142261;617062;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;259123;74258;0;674;1022546;236365;0;384;0.326066;724899;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;155875;101452;0;783;733551;189963;0;384;0.277092;685559;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;260290;94483;0;491;770131;212630;0;405;0.308445;689362;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;158172;231849;0;568;720536;173584;0;405;0.260202;667113;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;173317;97062;0;763;887371;218718;0;405;0.307886;710386;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;86025;11504;0;508;799108;150336;0;405;0.214036;702385;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;159691;41106;0;559;549131;111805;0;405;0.165199;676789;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;137601;92107;0;499;610821;225021;0;405;0.321323;700295;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;167163;120829;0;524;614611;162543;0;405;0.234077;694400;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;91132;107074;0;600;706705;146314;0;405;0.208944;700255;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;67727;19338;0;491;755485;130751;0;405;0.18529;705654;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;60442;259746;0;786;1198519;259688;0;405;0.375065;692382;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;103204;263077;0;557;797183;247758;0;405;0.338022;732965;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;207887;73900;0;557;629326;217361;0;424;0.312394;695792;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;158034;38934;0;596;595824;123700;0;424;0.182143;679138;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;119514;262143;0;702;901209;249415;0;424;0.336737;740682;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;133416;95500;0;458;577671;216828;0;424;0.311479;696123;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;222955;118711;0;594;887087;262112;0;424;0.356884;734447;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
