domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;17943326;2352282;0;8627;30761441;20365194;0;40373;61.4759;331271;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;11007122;7280632;0;2455;6468753;4276858;0;35413;12.8007;334112;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;11854688;4519887;0;3500;15851953;16681064;0;35413;49.9155;334186;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;4152015;11761705;0;6592;20902264;17093404;0;35413;49.6324;344400;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;9205677;4064723;0;9525;25989053;13704694;0;35413;38.5198;355783;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;18939926;7579619;0;4046;10339175;7010116;0;35413;19.1136;366762;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;20888261;22184828;0;7900;33443869;14007205;0;35413;39.244;356926;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;9280086;12222438;0;4502;14304497;8676792;0;35413;27.0722;320506;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;20797112;13520726;0;2688;8087677;5424204;0;35413;14.889;364309;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;10580049;7215627;0;3160;9919462;4390056;0;35413;13.0489;336430;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;5539175;10868784;0;1399;4952500;2299600;0;35413;6.66463;345045;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;19384124;16233446;0;2657;8831097;8284072;0;35413;24.8387;333515;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;8394377;2863059;0;8186;27370399;23639747;0;44039;66.8228;353768;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;14831829;23247015;0;2010;8067718;3192671;0;42503;9.35729;341196;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;11460977;19727756;0;6360;19939824;16490030;0;42503;47.8891;344338;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;22543462;12994312;0;5109;17360155;14855187;0;42503;41.4614;358290;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;23513416;10350018;0;4683;15101624;8877030;0;42503;26.8638;330445;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;9776451;20661840;0;3954;11457665;9379907;0;42503;28.8682;324921;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;19121903;2131485;0;2267;6617042;3524029;0;42503;8.99416;391813;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3271371;11475538;0;10700;43958137;20782782;0;45211;59.1722;351225;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;9202197;12003087;0;8350;23859003;11969529;0;45211;33.2737;359729;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;977248;14924060;0;12031;42618119;22512663;0;48258;63.0993;356781;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;17883825;2998343;0;7376;20096528;15404270;0;48258;45.1297;341333;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;21537535;11233478;0;2004;9473278;2486351;0;48258;7.06389;351980;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;14495900;22411392;0;1434;8802000;2705169;0;48258;7.17667;376939;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;5801892;8412587;0;2453;8439177;6463018;0;48258;18.846;342938;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;16689546;1413452;0;4981;13498825;12072752;0;48258;33.9184;355936;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;6360899;9984710;0;4508;13990325;14027533;0;48258;39.9609;351032;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;28/1;1;18312970;13015892;0;6132;16446886;17328474;0;48258;52.5217;329930;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;29/1;1;12498718;17091157;0;2302;7016368;5158485;0;48258;14.6217;352796;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;30/1;1;14888718;20430610;0;8689;27136457;17906824;0;48258;54.3718;329341;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;31/1;1;14477338;23891396;0;2331;14650848;5184522;0;48258;14.5396;356579;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;32/1;1;10726777;9115473;0;7396;22176803;14368180;0;48258;42.1815;340627;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;33/1;1;11056926;7083088;0;3835;12813196;10249183;0;48258;31.0439;330151;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;34/1;1;6238736;6199650;0;621;2303127;744942;0;48258;2.02296;368243;K0;? Unchecked;v1.6.0-15-gb5144bf
