domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;17943326;2352282;2832698;8627;30761442;20256468;0;40223;69.1579;292902;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;11007122;7280632;560968;2455;6468753;3596887;0;35262;11.261;319410;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;11854688;4519887;1433461;3500;15851953;14256055;0;35262;48.4832;294041;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;4152015;11761705;1854519;6592;20902807;16541056;0;35262;55.8939;295936;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;9205677;4064723;2328181;9525;25989066;12533887;0;35262;40.6331;308465;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;18939926;7579619;950034;4046;10339175;6582746;0;35262;20.6219;319212;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;20888261;22184828;2875994;7900;33443869;13106017;0;35262;42.1608;310858;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;9280086;12222438;1294526;4502;14304497;7511972;0;35262;26.0366;288516;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;20797112;13520726;690610;2688;8087677;4847586;0;35262;15.4035;314706;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;10580049;7215627;858905;3160;9919600;3897149;0;35262;12.6503;308067;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;5539175;10868784;427025;1399;4952500;1826065;0;35262;5.92832;308024;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;19384124;16233446;766364;2657;8831205;6728281;0;35262;21.9756;306171;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;8394377;2863059;2394452;8186;27370399;22699390;0;42912;74.0174;306676;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;14831829;23247015;703111;2010;8067740;2593020;0;41376;8.51922;304373;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;11460977;19727756;1824262;6348;19940289;16067286;0;41376;53.6906;299257;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;22543462;12994312;1585293;5109;17360155;14281993;0;41376;45.8438;311536;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;23513416;10350018;1408167;4683;15101624;8091572;0;41376;27.0226;299437;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;9776451;20661840;985187;3954;11457665;8182645;0;41376;28.2055;290108;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;19121903;2131485;592445;2267;6617042;3104778;0;41376;9.35914;331738;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3271371;11475538;3873108;10697;43959597;20257475;0;44546;66.5965;304182;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;9202197;12003087;2095348;8350;23859617;11417480;0;44546;36.7027;311080;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;977248;14924060;3891242;12038;42623093;22290646;0;47957;70.8248;314729;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;17883825;2998343;1776370;7376;20096528;14251197;0;47957;45.4219;313751;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;21537535;11233478;728780;2004;9473278;1885977;0;47957;6.05989;311223;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;14495900;22411392;726476;1434;8802000;2319042;0;47957;7.25276;319746;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;5801892;8412587;730871;2453;8439178;5529319;0;47957;18.1521;304610;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;16689546;1413452;1225888;4981;13498834;11439584;0;47957;37.4285;305638;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;6360899;9984710;1238153;4508;13990325;12722336;0;47957;42.6941;297988;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;28/1;1;18312970;13015892;1429480;6132;16447931;16274292;0;47957;55.8859;291206;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;29/1;1;12498718;17091157;601971;2302;7016368;4484945;0;47957;13.6537;328479;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;30/1;1;14888718;20430610;2454586;8763;27136719;17685338;0;47957;59.5348;297059;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;31/1;1;14477338;23891396;1227572;2331;14650848;4930601;0;47957;15.5671;316732;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;32/1;1;10726777;9115473;1849575;7396;22176962;12255779;0;47957;41.3709;296242;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;33/1;1;11056926;7083088;1143550;3835;12813196;9036345;0;47957;31.457;287260;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;34/1;1;6238736;6199650;205487;621;2303127;564854;0;47957;1.69442;333362;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;35/1;1;6802557;19072290;1113708;4868;13032413;12773210;0;47957;43.7585;291903;K*;? Unchecked;v1.6.0-15-gb5144bf
