domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;17943326;2352282;0;8627;30761441;20365193;1;27084;31.1806;653137;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;11007122;7280632;0;2455;6468753;4276857;1;27084;6.2462;684713;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;11854688;4519887;0;3500;15851953;16681063;1;27941;25.9633;642486;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;4152015;11761705;0;6592;20902264;17093403;1;27941;24.7939;689420;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;9205677;4064723;0;9525;25989053;13704693;1;27941;19.1652;715082;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;18939926;7579619;0;4046;10339175;7010115;1;27941;9.83333;712893;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;20888261;22184828;0;7900;33443869;14007204;1;27941;20.2254;692556;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;9280086;12222438;0;4502;14304497;8676791;1;27941;12.9991;667491;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;20797112;13520726;0;2688;8087677;5424203;1;27941;7.40068;732933;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;10580049;7215627;0;3160;9919462;4390055;1;27941;6.20036;708032;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;5539175;10868784;0;1399;4952500;2299599;1;27941;3.33674;689176;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;19384124;16233446;0;2657;8831097;8284071;1;27941;13.0586;634379;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;8394377;2863059;0;8186;27370399;23639746;1;32276;33.8994;697350;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;14831829;23247015;0;2010;8067718;3192670;1;32276;5.07154;629527;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;11460977;19727756;0;6360;19939824;16490029;1;32276;23.1762;711506;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;22543462;12994312;0;5109;17360155;14855186;1;32276;21.5999;687742;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;23513416;10350018;0;4683;15101624;8877029;1;32276;12.8426;691218;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;9776451;20661840;0;3954;11457665;9379906;1;32276;14.4447;649366;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;19121903;2131485;0;2267;6617042;3524028;1;32276;4.861;724959;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3271371;11475538;0;10700;43958137;20782781;1;32276;27.7158;749853;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;9202197;12003087;0;8350;23859003;11969528;1;32276;15.992;748470;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;977248;14924060;0;12031;42618119;22512662;1;32276;29.7032;757920;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;17883825;2998343;0;7376;20096528;15404269;1;32276;21.6496;711527;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;21537535;11233478;0;2004;9473278;2486350;1;32276;3.63679;683666;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;14495900;22411392;0;1434;8802000;2705168;1;32276;3.6932;732472;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;5801892;8412587;0;2453;8439177;6463017;1;32276;10.3486;624530;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;16689546;1413452;0;4981;13498825;12072751;1;32276;17.3153;697232;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;6360899;9984710;0;4508;13990325;14027532;1;32276;21.4181;654938;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;28/1;1;18312970;13015892;0;6132;16446886;17328473;1;32276;27.0233;641242;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;29/1;1;12498718;17091157;0;2302;7016368;5158483;1;32276;7.23517;712973;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;30/1;1;14888718;20430610;0;8689;27136457;17906823;1;32276;24.4212;733249;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;31/1;1;14477338;23891396;0;2331;14650848;5184517;1;32276;6.9356;747523;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;32/1;1;10726777;9115473;0;7396;22176803;14368179;1;32276;22.3247;643600;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;33/1;1;11056926;7083088;0;3835;12813196;10249182;1;32276;15.3934;665816;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;34/1;1;6238736;6199650;0;621;2303127;744906;1;32276;1.08199;688460;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;35/1;1;6802557;19072290;0;4868;13032413;14145402;1;32276;23.0395;613963;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;36/1;1;3320488;12172537;0;8032;34308054;13308737;1;32276;20.1312;661100;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;37/1;1;155562;9462201;0;3988;12328279;12872560;1;32276;21.2807;604893;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;38/1;1;3441992;10702760;0;3656;16592687;10499335;1;32276;16.5606;633994;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;39/1;1;19092566;5617643;0;5999;17744945;16178003;1;32276;23.8609;678012;BELA0;? Unchecked;v1.6.0-15-gb5144bf
