domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;17943326;2352282;2832698;8627;30761442;20256467;1;27008;37.0262;547085;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;11007122;7280632;560968;2455;6468753;3596886;1;27008;6.21851;578416;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;11854688;4519887;1433461;3500;15851953;14256052;1;27008;27.2192;523750;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;4152015;11761705;1854519;6591;20902807;16541055;1;28409;28.8518;573312;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;9205677;4064723;2328181;9525;25989066;12533886;1;28409;21.2899;588725;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;18939926;7579619;950034;4046;10339175;6582745;1;28409;11.231;586124;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;20888261;22184828;2875994;7900;33443869;13106016;1;28409;22.8128;574503;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;9280086;12222438;1294526;4502;14304497;7511971;1;28409;13.3164;564115;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;20797112;13520726;690610;2688;8087677;4847585;1;28409;7.92081;612006;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;10580049;7215627;858905;3162;9919600;3897148;1;28409;6.56894;593269;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;5539175;10868784;427025;1399;4952500;1826064;1;28409;3.12721;583927;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;19384124;16233446;766364;2657;8831205;6728280;1;28409;12.6733;530902;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;8394377;2863059;2394452;8186;27370399;22699389;1;31379;39.3919;576246;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;14831829;23247015;703111;2011;8067740;2593019;1;31379;4.50413;575698;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;11460977;19727756;1824262;6346;19940289;16067285;1;31379;27.451;585308;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;22543462;12994312;1585293;5109;17360155;14281992;1;31379;24.9582;572238;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;23513416;10350018;1408167;4683;15101624;8091571;1;31379;13.9055;581896;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;9776451;20661840;985187;3954;11457665;8182644;1;31379;14.7997;552894;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;19121903;2131485;592445;2267;6617042;3104777;1;31379;5.07775;611447;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3271371;11475538;3873108;10703;43959597;20257474;1;31379;32.6693;620076;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;9202197;12003087;2095348;8345;23859617;11417479;1;31379;18.0976;630883;BELA*;? Unchecked;v1.6.0-15-gb5144bf
