domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;17943326;2352282;1;24784.8;11.3044;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;11007122;7280632;1;24785.1;2.45153;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;11854688;4519887;1;24785.1;5.14634;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;4152015;11761705;1;24785.1;12.59;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;9205677;4064723;1;24785.1;11.0996;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;18939926;7579619;1;24785.1;6.30774;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;20888261;22184828;1;24785.1;14.5348;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;9280086;12222438;1;24785.1;10.1124;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;20797112;13520726;1;24785.1;3.16274;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;10580049;7215627;1;24785.1;6.90883;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;5539175;10868784;1;24785.1;1.24236;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;19384124;16233446;1;24785.1;3.21129;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;8394377;2863059;1;24785.1;10.9859;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;14831829;23247015;1;24785.1;2.8387;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;11460977;19727756;1;24785.1;10.1182;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;22543462;12994312;1;24785.1;10.1446;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;23513416;10350018;1;24785.1;10.3656;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;9776451;20661840;1;24785.1;7.56548;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;19121903;2131485;1;24785.1;2.83254;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;3271371;11475538;1;24785.1;14.1502;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;9202197;12003087;1;24785.1;13.8813;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;977248;14924060;1;24785.1;12.7762;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;17883825;2998343;1;24785.1;5.68315;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;21537535;11233478;1;24785.1;0.947376;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;14495900;22411392;1;24785.1;1.38007;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;5801892;8412587;1;24785.1;3.31371;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;16689546;1413452;1;24785.1;9.20744;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;6360899;9984710;1;24785.1;6.73003;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;18312970;13015892;1;24785.1;5.09503;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;12498718;17091157;1;24785.1;3.50161;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;14888718;20430610;1;24785.1;13.9328;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;14477338;23891396;1;24785.1;4.14191;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;10726777;9115473;1;24785.1;10.1578;SB*;v2.0-53-g98db238
roadmap;dimacs;33/1;1;11056926;7083088;1;24785.1;7.4793;SB*;v2.0-53-g98db238
roadmap;dimacs;34/1;1;6238736;6199650;1;24785.1;0.356066;SB*;v2.0-53-g98db238
roadmap;dimacs;35/1;1;6802557;19072290;1;24785.1;6.4059;SB*;v2.0-53-g98db238
roadmap;dimacs;36/1;1;3320488;12172537;1;24785.1;14.5294;SB*;v2.0-53-g98db238
roadmap;dimacs;37/1;1;155562;9462201;1;24785.1;6.47832;SB*;v2.0-53-g98db238
roadmap;dimacs;38/1;1;3441992;10702760;1;24785.1;6.36526;SB*;v2.0-53-g98db238
roadmap;dimacs;39/1;1;19092566;5617643;1;24785.1;10.5511;SB*;v2.0-53-g98db238
roadmap;dimacs;40/1;1;1906723;17464313;1;24785.1;1.75114;SB*;v2.0-53-g98db238
roadmap;dimacs;41/1;1;4441238;13954936;1;24785.1;2.6959;SB*;v2.0-53-g98db238
roadmap;dimacs;42/1;1;10477182;14543997;1;24785.1;4.05157;SB*;v2.0-53-g98db238
roadmap;dimacs;43/1;1;15951428;9742729;1;24785.1;8.44692;SB*;v2.0-53-g98db238
roadmap;dimacs;44/1;1;19140912;18796064;1;24785.1;6.98825;SB*;v2.0-53-g98db238
