domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;  17943326;   2352282;0;8627;30761441;20365193;1;0;27084;30.553;666554;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;  11007122;   7280632;0;2455;6468753;4276857;1;0;27084;6.14835;695610;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;  11854688;   4519887;0;3500;15851953;16681063;1;0;27941;25.6329;650767;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;   4152015;  11761705;0;6592;20902264;17093403;1;0;27941;24.4974;697765;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;   9205677;   4064723;0;9525;25989053;13704693;1;0;27941;19.1165;716903;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;  18939926;   7579619;0;4046;10339175;7010115;1;0;27941;9.66821;725068;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;  20888261;  22184828;0;7900;33443869;14007204;1;0;27941;20.0748;697749;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;   9280086;  12222438;0;4502;14304497;8676791;1;0;27941;12.7937;678210;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;  20797112;  13520726;0;2688;8087677;5424203;1;0;27941;7.18838;754579;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;  10580049;   7215627;0;3160;9919462;4390055;1;0;27941;6.0676;723525;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;   5539175;  10868784;0;1399;4952500;2299599;1;0;27941;3.2563;706200;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;  19384124;  16233446;0;2657;8831097;8284071;1;0;27941;12.844;644974;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;   8394377;   2863059;0;8186;27370399;23639746;1;0;32355;34.0237;694803;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;  14831829;  23247015;0;2010;8067718;3192670;1;0;32355;5.02364;635529;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;  11460977;  19727756;0;6360;19939824;16490029;1;0;32355;23.0267;716127;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;  22543462;  12994312;0;5109;17360155;14855186;1;0;32355;21.358;695534;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;  23513416;  10350018;0;4683;15101624;8877029;1;0;32355;12.6669;700805;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
