domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;  17943326;   2352282;0;8627;30761441;20365193;1;31810;35.0108;581683;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;  11007122;   7280632;0;2455;6468753;4276857;1;31810;6.61226;646807;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;  11854688;   4519887;0;3500;15851953;16681063;1;32970;27.6615;603044;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   4152015;  11761705;0;6592;20902264;17093403;1;32970;26.2762;650528;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   9205677;   4064723;0;9525;25989053;13704693;1;32970;20.0407;683842;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;  18939926;   7579619;0;4046;10339175;7010115;1;32970;10.2329;685055;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;  20888261;  22184828;0;7900;33443869;14007204;1;32970;21.238;659534;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   9280086;  12222438;0;4502;14304497;8676791;1;32970;13.686;633993;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;  20797112;  13520726;0;2688;8087677;5424203;1;32970;7.71619;702964;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;  10580049;   7215627;0;3160;9919462;4390055;1;32970;6.4596;679617;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   5539175;  10868784;0;1399;4952500;2299599;1;32970;3.56135;645710;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;  19384124;  16233446;0;2657;8831097;8284071;1;32970;14.122;586609;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   8394377;   2863059;0;8186;27370399;23639746;1;37886;36.9862;639150;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;  14831829;  23247015;0;2010;8067718;3192670;1;37886;5.41761;589314;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;  11460977;  19727756;0;6360;19939824;16490029;1;37886;24.8795;662797;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;  22543462;  12994312;0;5109;17360155;14855186;1;37886;23.1043;642961;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;  23513416;  10350018;0;4683;15101624;8877029;1;37886;13.6907;648400;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   9776451;  20661840;0;3954;11457665;9379906;1;37886;15.4888;605592;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;  19121903;   2131485;0;2267;6617042;3524028;1;37886;5.08869;692521;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   3271371;  11475538;0;10700;43958137;20782781;1;37886;29.5793;702612;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;   9202197;  12003087;0;8350;23859003;11969528;1;37886;17.1228;699039;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    977248;  14924060;0;12031;42618119;22512662;1;37886;31.9606;704388;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;  17883825;   2998343;0;7376;20096528;15404269;1;37886;23.4687;656375;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;  21537535;  11233478;0;2004;9473278;2486350;1;37886;3.81144;652338;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;  14495900;  22411392;0;1434;8802000;2705168;1;37886;3.85096;702467;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;   5801892;   8412587;0;2453;8439177;6463017;1;37886;11.0389;585479;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
