domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;  17943326;   2352282;2832706;8627;30761441;20256495;1;31793;43.6068;464526;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;  11007122;   7280632;560968;2455;6468753;3596877;1;31793;6.52181;551515;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;  11854688;   4519887;1433503;3500;15851953;14256017;1;31793;29.2911;486702;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   4152015;  11761705;1854519;6592;20902264;16540719;1;33374;30.7732;537504;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;   9205677;   4064723;2327971;9525;25989053;12533947;1;33374;22.5557;555689;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;  18939926;   7579619;950034;4046;10339175;6582816;1;33374;11.6637;564383;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;  20888261;  22184828;2875984;7900;33443869;13106143;1;33374;24.4014;537106;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   9280086;  12222438;1294330;4502;14304497;7512025;1;33374;14.1267;531762;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;  20797112;  13520726;690432;2688;8087677;4847587;1;33374;8.35456;580233;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;  10580049;   7215627;859004;3160;9919462;3897060;1;33374;6.87318;566995;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   5539175;  10868784;427033;1399;4952500;1826070;1;33374;3.31455;550926;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
