domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;4320996;3421432;0;1087;6670199;887790;0;4032;2.50312;354674;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;2710066;136691;0;3416;19652589;4285746;0;11190;12.5484;341536;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;4833717;720610;0;2108;10104399;2663190;0;7660;6.90136;385894;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;2142831;2373369;0;1035;5387291;923912;0;7660;2.37087;389692;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;553927;6184741;0;2873;16021846;4502576;0;9845;12.0323;374208;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;4290512;3848681;0;2543;13330716;4141638;0;9478;10.9102;379611;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;5084840;5961415;0;3361;13573511;5235900;0;10825;13.8532;377957;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;4846384;101177;0;3058;17388270;4975237;0;13129;13.4026;371213;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;4520980;965983;0;1700;8453023;1597035;0;10057;4.26474;374474;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;5487394;5045506;0;3620;17334322;6217781;0;14008;16.5325;376095;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;1926823;854459;0;734;3116590;788732;0;10436;1.87885;419795;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;3088686;2457940;0;1455;9247908;1014149;0;10436;2.88553;351460;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;1991621;6102039;0;1168;3919717;481875;0;10436;1.18505;406629;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;1679479;3135970;0;2556;13105182;3810575;0;10436;10.2486;371816;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;1063830;4654604;0;1626;8671611;2218900;0;10436;6.41967;345641;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;6224466;1240446;0;2244;11870571;3204188;0;10436;8.50592;376701;K0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;2418674;4452024;0;2926;18598147;5098550;0;13129;13.6115;374577;K0;? Unchecked;v1.6.0-15-gb5144bf
