domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;4320996;3421432;526297;1087;6670199;704939;0;3775;2.10573;334772;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;2710066;136691;1567109;3416;19652589;3916481;0;10649;12.478;313872;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;4833717;720610;837355;2108;10104399;2489843;0;7213;7.32023;340132;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;2142831;2373369;453817;1035;5387832;799294;0;7213;2.18847;365229;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;553927;6184741;1398035;2873;16021846;3978641;0;9102;11.6238;342283;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;4290512;3848681;1075518;2543;13330716;3591137;0;8920;10.4485;343700;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;5084840;5961415;1110306;3361;13573511;4773923;0;10249;14.7698;323222;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;4846384;101177;1434573;3058;17388270;4750855;0;12368;14.6324;324680;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;4520980;965983;680853;1700;8453023;1427320;0;9296;4.26282;334830;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;5487394;5045506;1461607;3620;17335262;6184752;0;13909;18.6989;330755;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;1926823;854459;266606;734;3116590;753004;0;10652;2.04728;367807;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;3088686;2457940;801693;1455;9248145;967539;0;10652;3.08651;313474;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;1991621;6102039;304993;1168;3919717;431719;0;10652;1.21794;354468;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;1679479;3135970;1106188;2556;13105182;3403395;0;10652;9.85249;345435;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;1063830;4654604;677640;1626;8671611;1850153;0;10652;5.70864;324097;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;6224466;1240446;950004;2244;11870571;2679037;0;10652;7.92763;337937;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;2418674;4452024;1550988;2926;18599367;4914470;0;13724;14.8265;331465;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;4931603;4141462;188959;537;2204093;160202;0;10264;0.466372;343507;K*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;5574074;4243473;288830;878;3358323;246030;0;10264;0.640707;383998;K*;? Unchecked;v1.6.0-15-gb5144bf
