domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;4320996;3421432;0;1087;6670199;887789;1;2846;1.39117;638160;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;2710066;136691;0;3416;19652589;4285745;1;5828;6.5144;657888;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;4833717;720610;0;2108;10104399;2663189;1;5828;3.59957;739864;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;2142831;2373369;0;1035;5387291;923911;1;5828;1.21104;762905;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;553927;6184741;0;2873;16021846;4502574;1;5828;5.73741;784775;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;4290512;3848681;0;2543;13330716;4141637;1;7187;5.65423;732485;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;5084840;5961415;0;3361;13573511;5235899;1;7651;6.85022;764340;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;4846384;101177;0;3058;17388270;4975235;1;7651;6.5597;758455;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;4520980;965983;0;1700;8453023;1597034;1;7651;2.29995;694377;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;5487394;5045506;0;3620;17334322;6217780;1;8428;8.9947;691271;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;1926823;854459;0;734;3116590;788731;1;7651;0.997298;790868;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;3088686;2457940;0;1455;9247908;1014148;1;7651;1.44871;700033;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;1991621;6102039;0;1168;3919717;481874;1;7651;0.621695;775097;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;1679479;3135970;0;2556;13105182;3810574;1;7651;5.03106;757410;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;1063830;4654604;0;1626;8671611;2218894;1;7651;3.15056;704286;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;6224466;1240446;0;2244;11870571;3204187;1;7651;4.49838;712299;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;2418674;4452024;0;2926;18598147;5098549;1;7651;6.7583;754413;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;4931603;4141462;0;537;2204093;196264;1;7651;0.299292;655760;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;5574074;4243473;0;878;3358323;277939;1;7651;0.355329;782202;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3494933;2858057;0;2634;14815641;3205736;1;7651;4.51323;710298;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;181323;301703;0;2403;10476956;2337728;1;7651;3.1678;737965;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;3315543;4157337;0;3467;18996346;5815693;1;7651;7.69275;755997;BELA0;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;3908941;5345394;0;4816;26973067;6228983;1;7741;8.68784;716977;BELA0;? Unchecked;v1.6.0-15-gb5144bf
