domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;4320996;3421432;526297;1087;6670199;704938;1;2674;1.27128;554509;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;1/1;1;2710066;136691;1567109;3416;19652589;3916480;1;5500;7.00105;559413;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;2/1;1;4833717;720610;837355;2108;10104399;2489842;1;5500;4.02409;618734;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;3/1;1;2142831;2373369;453817;1031;5387832;799293;1;5500;1.26493;631886;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;4/1;1;553927;6184741;1398035;2873;16021846;3978638;1;6336;6.13937;648053;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;5/1;1;4290512;3848681;1075518;2543;13330716;3591136;1;6776;6.0026;598263;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;6/1;1;5084840;5961415;1110306;3361;13573511;4773922;1;6776;7.83262;609492;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;7/1;1;4846384;101177;1434573;3058;17388270;4750854;1;7309;7.68012;618591;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;8/1;1;4520980;965983;680853;1701;8453023;1427319;1;6776;2.35716;605526;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;9/1;1;5487394;5045506;1461607;3621;17335262;6184751;1;8335;10.7543;575098;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;10/1;1;1926823;854459;266606;734;3116590;753003;1;6776;1.16328;647308;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;11/1;1;3088686;2457940;801693;1461;9248145;967538;1;6776;1.62354;595944;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;12/1;1;1991621;6102039;304993;1168;3919717;431718;1;6776;0.66366;650511;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;13/1;1;1679479;3135970;1106188;2558;13105182;3403394;1;6776;5.43115;626644;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;14/1;1;1063830;4654604;677640;1626;8671611;1850151;1;6776;3.06113;604401;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;15/1;1;6224466;1240446;950004;2244;11870571;2679036;1;6776;4.32059;620063;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;16/1;1;2418674;4452024;1550988;2934;18599367;4914469;1;6776;7.87068;624402;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;17/1;1;4931603;4141462;188959;537;2204093;160201;1;6776;0.277945;576377;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;18/1;1;5574074;4243473;288830;878;3358323;246027;1;6776;0.367999;668554;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;19/1;1;3494933;2858057;1207773;2634;14815641;2929665;1;6776;4.68331;625554;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;20/1;1;181323;301703;867493;2403;10476956;2068099;1;6776;3.30771;625235;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;21/1;1;3315543;4157337;1581827;3467;18996346;5649978;1;7179;9.13994;618164;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;22/1;1;3908941;5345394;2261583;4825;26975409;6228099;1;7557;10.1491;613659;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;23/1;1;5242371;4655349;940945;1813;11130875;1646634;1;7557;2.77805;592731;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;24/1;1;4961834;2356084;954556;2642;10622813;1803861;1;7557;3.10657;580661;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;25/1;1;1035769;4238789;1383815;3658;16540696;3337292;1;7557;5.57757;598342;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;26/1;1;5543425;3773681;561418;1167;7412546;880080;1;7557;1.39794;629554;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;27/1;1;4268952;369310;1065726;2766;12778648;2313351;1;7557;3.6773;629089;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;28/1;1;3974048;3829589;86836;591;1086366;158782;1;7557;0.227568;697736;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;29/1;1;294053;1013690;1055230;2461;14276116;3703790;1;7557;5.73401;645934;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;30/1;1;3379186;5160800;868706;2424;10391082;1553362;1;7557;2.63989;588418;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;31/1;1;4901574;3976463;1526941;3702;18642342;3233078;1;7557;5.71909;565313;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;32/1;1;3401397;2920525;761508;2371;9286565;1624239;1;7557;2.72619;595792;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;33/1;1;1580614;2113646;660211;1654;7685233;1735986;1;7557;2.62548;661207;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;34/1;1;3461643;2595916;1198561;2538;14183355;1295807;1;7557;2.10182;616516;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;35/1;1;1972302;2243773;1258498;2930;15270172;3973500;1;7557;6.4352;617463;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;36/1;1;5635363;1260073;1724826;4171;21538560;4456476;1;7557;7.21331;617813;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;37/1;1;70522;3752891;544540;1512;7146147;1509154;1;7557;2.48522;607251;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;38/1;1;1531608;3855627;705143;2208;8119624;1909787;1;7557;2.99616;637412;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;39/1;1;1273069;1293225;202596;898;2270017;461632;1;7557;0.716619;644180;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;40/1;1;343255;3167742;895102;1441;10348963;2664239;1;7557;4.13174;644822;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;41/1;1;2036708;4028423;1576604;4324;18850067;5806737;1;7557;9.49995;611239;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;42/1;1;2450928;3040803;1285085;3572;14485408;3495570;1;7557;5.50981;634427;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;43/1;1;3872326;927199;1566617;3308;18777151;4565396;1;7557;7.59155;601378;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;44/1;1;787505;5832579;658805;2338;7666027;1531972;1;7557;2.50934;610508;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;45/1;1;4694806;1706582;688411;1943;7741341;1656762;1;7557;2.80352;590958;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;46/1;1;554299;5975460;1546522;3321;17931500;4825959;1;7557;7.80832;618053;BELA*;? Unchecked;v1.6.0-15-gb5144bf
roadmap;dimacs;47/1;1;4581127;717795;783089;1845;9567397;2220405;1;7557;3.90153;569112;BELA*;? Unchecked;v1.6.0-15-gb5144bf
