domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;4320996;3421432;1;6484.06;0.20458;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;2710066;136691;1;6484.25;3.24643;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;4833717;720610;1;6484.25;1.21725;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;2142831;2373369;1;6484.25;0.461074;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;553927;6184741;1;6484.25;2.62698;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;4290512;3848681;1;6484.25;1.65785;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;5084840;5961415;1;6484.25;1.37528;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;4846384;101177;1;6484.25;2.67198;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;4520980;965983;1;6484.25;1.00837;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;5487394;5045506;1;6484.25;1.26622;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;1926823;854459;1;6484.25;0.219177;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;3088686;2457940;1;6484.25;1.27528;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;1991621;6102039;1;6484.25;0.228822;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;1679479;3135970;1;6484.25;1.19788;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;1063830;4654604;1;6484.25;1.32588;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;6224466;1240446;1;6484.25;1.68316;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;2418674;4452024;1;6484.25;2.7599;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;4931603;4141462;1;6484.25;0.111245;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;5574074;4243473;1;6484.25;0.172263;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;3494933;2858057;1;6484.25;2.77933;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;181323;301703;1;6484.25;1.31752;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;3315543;4157337;1;6484.25;2.04604;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;3908941;5345394;1;6484.25;2.5708;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;5242371;4655349;1;6484.25;2.76138;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;4961834;2356084;1;6484.25;1.38609;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;1035769;4238789;1;6484.25;2.98697;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;5543425;3773681;1;6484.25;1.23955;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;4268952;369310;1;6484.25;1.7165;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;3974048;3829589;1;6484.25;0.0767031;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;294053;1013690;1;6484.25;2.76603;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;3379186;5160800;1;6484.25;0.786208;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;4901574;3976463;1;6484.25;2.74264;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;3401397;2920525;1;6484.25;0.984985;SB*;v2.0-53-g98db238
roadmap;dimacs;33/1;1;1580614;2113646;1;6484.25;1.00239;SB*;v2.0-53-g98db238
roadmap;dimacs;34/1;1;3461643;2595916;1;6484.25;3.13608;SB*;v2.0-53-g98db238
roadmap;dimacs;35/1;1;1972302;2243773;1;6484.25;2.16811;SB*;v2.0-53-g98db238
roadmap;dimacs;36/1;1;5635363;1260073;1;6484.25;3.32915;SB*;v2.0-53-g98db238
roadmap;dimacs;37/1;1;70522;3752891;1;6484.25;1.06712;SB*;v2.0-53-g98db238
roadmap;dimacs;38/1;1;1531608;3855627;1;6484.25;1.04841;SB*;v2.0-53-g98db238
roadmap;dimacs;39/1;1;1273069;1293225;1;6484.25;0.19378;SB*;v2.0-53-g98db238
roadmap;dimacs;40/1;1;343255;3167742;1;6484.25;1.66513;SB*;v2.0-53-g98db238
roadmap;dimacs;41/1;1;2036708;4028423;1;6484.25;2.20881;SB*;v2.0-53-g98db238
roadmap;dimacs;42/1;1;2450928;3040803;1;6484.25;1.47066;SB*;v2.0-53-g98db238
roadmap;dimacs;43/1;1;3872326;927199;1;6484.25;3.07586;SB*;v2.0-53-g98db238
roadmap;dimacs;44/1;1;787505;5832579;1;6484.25;0.630076;SB*;v2.0-53-g98db238
roadmap;dimacs;45/1;1;4694806;1706582;1;6484.25;0.998502;SB*;v2.0-53-g98db238
roadmap;dimacs;46/1;1;554299;5975460;1;6484.25;2.37781;SB*;v2.0-53-g98db238
roadmap;dimacs;47/1;1;4581127;717795;1;6484.25;1.13379;SB*;v2.0-53-g98db238
roadmap;dimacs;48/1;1;3064769;215062;1;6484.25;2.63405;SB*;v2.0-53-g98db238
roadmap;dimacs;49/1;1;6261467;1869006;1;6484.25;2.67289;SB*;v2.0-53-g98db238
roadmap;dimacs;50/1;1;1085538;780207;1;6484.25;1.4625;SB*;v2.0-53-g98db238
roadmap;dimacs;51/1;1;6240682;3040367;1;6484.25;1.41783;SB*;v2.0-53-g98db238
roadmap;dimacs;52/1;1;6006351;2224869;1;6484.25;0.729576;SB*;v2.0-53-g98db238
roadmap;dimacs;53/1;1;508211;5490672;1;6484.25;3.00238;SB*;v2.0-53-g98db238
roadmap;dimacs;54/1;1;851471;4412887;1;6484.25;2.64622;SB*;v2.0-53-g98db238
roadmap;dimacs;55/1;1;1574156;4529788;1;6484.25;1.55071;SB*;v2.0-53-g98db238
roadmap;dimacs;56/1;1;2368242;3295502;1;6484.25;1.79925;SB*;v2.0-53-g98db238
roadmap;dimacs;57/1;1;5103576;302904;1;6484.25;2.15099;SB*;v2.0-53-g98db238
roadmap;dimacs;58/1;1;3951955;573471;1;6484.25;2.05521;SB*;v2.0-53-g98db238
roadmap;dimacs;59/1;1;367593;3203334;1;6484.25;1.68024;SB*;v2.0-53-g98db238
