domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   4320996;   3421432;0;1087;6670199;887789;1;0;2845;1.38296;641948;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;   2710066;    136691;0;3416;19652589;4285745;1;0;5828;6.47076;662325;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;   4833717;    720610;0;2108;10104399;2663189;1;0;5828;3.53862;752607;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;   2142831;   2373369;0;1035;5387291;923911;1;0;5828;1.19019;776272;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    553927;   6184741;0;2873;16021846;4502574;1;0;5828;5.64957;796976;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;   4290512;   3848681;0;2543;13330716;4141637;1;0;6574;5.56945;743635;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;   5084840;   5961415;0;3361;13573511;5235899;1;0;7651;7.04847;742842;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;   4846384;    101177;0;3058;17388270;4975235;1;0;7651;6.59932;753902;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;   4520980;    965983;0;1700;8453023;1597034;1;0;7651;2.26275;705792;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;   5487394;   5045506;0;3620;17334322;6217780;1;0;8428;9.04508;687422;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;   1926823;    854459;0;734;3116590;788731;1;0;7651;0.975038;808923;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;   3088686;   2457940;0;1455;9247908;1014148;1;0;7651;1.41841;714990;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;   1991621;   6102039;0;1168;3919717;481874;1;0;7651;0.599288;804078;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;   1679479;   3135970;0;2556;13105182;3810574;1;0;7651;4.91226;775727;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;   1063830;   4654604;0;1626;8671611;2218894;1;0;7651;3.18104;697537;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;   6224466;   1240446;0;2244;11870571;3204187;1;0;7651;4.51222;710114;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
