domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   4320996;   3421432;0;1087;6670199;887789;1;3029;2.05054;432954;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;   2710066;    136691;0;3416;19652589;4285745;1;6750;9.58156;447291;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;   4833717;    720610;0;2108;10104399;2663189;1;6750;4.78075;557065;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   2142831;   2373369;0;1035;5387291;923911;1;6750;1.61243;572991;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    553927;   6184741;0;2873;16021846;4502574;1;6749;7.93333;567552;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   4290512;   3848681;0;2543;13330716;4141637;1;8344;7.61457;543909;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   5084840;   5961415;0;3361;13573511;5235899;1;8828;9.36574;559048;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   4846384;    101177;0;3058;17388270;4975235;1;8828;8.97813;554151;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   4520980;    965983;0;1700;8453023;1597034;1;8828;3.12424;511175;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;   5487394;   5045506;0;3620;17334322;6217780;1;9826;12.2113;509184;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   1926823;    854459;0;734;3116590;788731;1;8828;1.38557;569247;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   3088686;   2457940;0;1455;9247908;1014148;1;8828;1.91538;529476;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   1991621;   6102039;0;1168;3919717;481874;1;8828;0.826809;582811;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;   1679479;   3135970;0;2556;13105182;3810574;1;8828;6.68176;570295;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1063830;   4654604;0;1626;8671611;2218894;1;8828;4.2047;527718;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   6224466;   1240446;0;2244;11870571;3204187;1;8828;5.9499;538528;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   2418674;   4452024;0;2926;18598147;5098549;1;8828;9.24245;551645;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   4931603;   4141462;0;537;2204093;196264;1;8828;0.403187;486781;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   5574074;   4243473;0;878;3358323;277939;1;8828;0.484706;573418;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   3494933;   2858057;0;2634;14815641;3205736;1;8828;5.8933;543963;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    181323;    301703;0;2403;10476956;2337728;1;8828;4.17902;559396;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   3315543;   4157337;0;3467;18996346;5815693;1;8828;10.5747;549963;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   3908941;   5345394;0;4816;26973067;6228983;1;8902;11.5937;537275;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   5242371;   4655349;0;1813;11130875;1841493;1;8902;3.36636;547029;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   4961834;   2356084;0;2642;10622813;2009289;1;8902;3.80662;527841;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;   1035769;   4238789;0;3658;16540696;3509551;1;8902;6.42295;546408;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;   5543425;   3773681;0;1167;7412142;1273411;1;8902;2.22957;571148;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   4268952;    369310;0;2766;12778648;2553425;1;8902;4.57269;558408;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   3974048;   3829589;0;591;1086366;187647;1;8902;0.32513;577144;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    294053;   1013690;0;2460;14275766;4045486;1;8902;6.92205;584435;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;   3379186;   5160800;0;2426;10391009;1839984;1;8902;3.37973;544417;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;   4901574;   3976463;0;3704;18642269;3536335;1;8902;6.86807;514895;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;   3401397;   2920525;0;2371;9286565;1802970;1;8902;3.29768;546738;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;   1580614;   2113646;0;1651;7681526;1946086;1;8902;3.18678;610675;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   3461643;   2595916;0;2543;14183157;1468944;1;8902;2.85607;514324;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;   1972302;   2243773;0;2930;15270172;4156297;1;8902;7.40875;560999;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;   5635363;   1260073;0;4176;21538313;4713637;1;8902;8.57479;549709;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;     70522;   3752891;0;1512;7146147;1656977;1;8902;2.95225;561259;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;   1531608;   3855627;0;2208;8119624;2012708;1;8902;3.39594;592681;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;   1273069;   1293225;0;898;2270017;488797;1;8902;0.838485;582953;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;    343255;   3167742;0;1441;10348963;2857298;1;8902;4.97046;574855;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;   2036708;   4028423;0;4324;18850067;5859264;1;8902;10.6521;550057;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;   2450928;   3040803;0;3572;14485408;3776214;1;8902;6.49831;581107;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;   3872326;    927199;0;3308;18777138;4695435;1;8902;8.83667;531358;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;    787505;   5832579;0;2338;7666027;1702161;1;8902;2.95429;576165;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;   4694806;   1706582;0;1943;7741341;1976303;1;8902;3.47266;569103;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;    554299;   5975460;0;3318;17931378;5330840;1;8902;9.71399;548780;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;   4581127;    717795;0;1849;9567367;2627913;1;8902;5.2433;501194;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;   3064769;    215062;0;3039;15625618;3127157;1;8902;5.90835;529277;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;   6261467;   1869006;0;3895;20052469;6054175;1;8902;11.6138;521291;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;   1085538;    780207;0;2250;11739063;3755665;1;8902;7.01148;535645;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;   6240682;   3040367;0;2847;13833130;5152278;1;8902;9.5966;536886;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;52/1;1;   6006351;   2224869;0;2516;7874552;1297280;1;8902;2.14181;605694;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;53/1;1;    508211;   5490672;0;2062;12054214;2999404;1;8902;5.6984;526359;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;54/1;1;    851471;   4412887;0;3298;17634432;5231438;1;8902;9.5935;545311;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;55/1;1;   1574156;   4529788;0;3461;15404816;3947065;1;8902;6.88924;572932;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;56/1;1;   2368242;   3295502;0;2933;17302442;5413857;1;8902;10.0089;540904;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;57/1;1;   5103576;    302904;0;3792;14559400;2910874;1;8902;5.25938;553463;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;58/1;1;   3951955;    573471;0;3362;14997404;3671964;1;8902;6.61486;555109;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;59/1;1;    367593;   3203334;0;1792;10534927;2602780;1;8902;4.68127;555999;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;60/1;1;   1691460;   5850252;0;5005;17713413;5327106;1;8902;9.87968;539198;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;61/1;1;   2246743;   5790235;0;3508;11316598;2989489;1;8902;5.85315;510749;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;62/1;1;   1594081;   2684037;0;3634;19880600;6023299;1;8902;11.4089;527947;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;63/1;1;   3082704;   2876577;0;3629;19706242;4256917;1;8902;8.4534;503575;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;64/1;1;   5912922;    651978;0;3677;17410803;3671681;1;8902;7.10582;516715;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;65/1;1;   1688634;    523217;0;639;1739331;344468;1;8902;0.55537;620249;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;66/1;1;    539319;   3974427;0;3772;14527451;3713333;1;8902;6.58606;563817;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;67/1;1;   4094198;   2717153;0;1469;10586286;1619482;1;8902;3.29437;491591;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;68/1;1;    833395;   4272795;0;2302;12805208;3630342;1;8902;6.61584;548735;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;69/1;1;    217264;   4320040;0;2356;15906642;4516699;1;8902;8.1988;550897;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;70/1;1;   2014775;   3232619;0;3024;13924958;4238808;1;8902;7.99546;530152;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;71/1;1;   5960148;   3979553;0;1453;5968339;904714;1;8902;1.59889;565838;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;72/1;1;   3583772;   3923180;0;3489;20007567;5052170;1;8902;9.69195;521275;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;73/1;1;   5525796;    209527;0;1071;4982580;712461;1;8902;1.34041;531526;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;74/1;1;    973158;   4821763;0;3735;19631044;5959419;1;8902;10.8862;547427;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;75/1;1;   3296732;   4674091;0;2869;14060838;2762385;1;8902;5.2923;521963;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;76/1;1;   4786486;   5170674;0;573;2566241;364647;1;8902;0.65013;560883;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;77/1;1;   2208885;   2401432;0;1481;5557722;1081107;1;8902;1.97013;548750;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;78/1;1;   4790473;   3438138;0;4047;23327731;5661236;1;8902;10.2574;551919;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;79/1;1;   3280776;   5251838;0;1346;7481259;979182;1;8902;1.80377;542852;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;80/1;1;   3994418;   5818995;0;852;3007203;464022;1;8902;0.762417;608619;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;81/1;1;   4879096;   3557810;0;5492;25822789;5879142;1;8902;10.4724;561394;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;82/1;1;   3103038;   3187215;0;3948;19507434;4596795;1;8902;9.03799;508608;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;83/1;1;   4201985;   4810591;0;3431;20139311;5578409;1;8902;10.3751;537673;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;84/1;1;   6144459;   1567853;0;3185;17553509;4881273;1;8902;9.53807;511767;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;85/1;1;   2159995;   5603476;0;3105;17972983;5269484;1;8902;10.2456;514315;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;86/1;1;   2176184;    506799;0;2379;11346907;2836943;1;8902;5.38041;527273;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;87/1;1;   3802848;   5404302;0;2633;13752431;2537740;1;8902;5.00626;506914;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;88/1;1;   1259137;   5623104;0;3371;19301060;5835934;1;8902;10.8422;538259;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;89/1;1;   2820263;   1434973;0;2468;10792576;3320882;1;8902;6.71347;494660;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;90/1;1;   4524729;      4104;0;1630;6647118;1393678;1;8902;2.66379;523194;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;91/1;1;   3667456;   4070555;0;860;5644630;1105808;1;8902;2.18767;505472;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;92/1;1;   1154079;   5856700;0;3625;21044613;6030394;1;8902;11.6049;519644;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;93/1;1;   4698390;   2397670;0;1393;3589185;611631;1;8902;1.0249;596771;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;94/1;1;   3506761;   4717549;0;3769;16478249;4490562;1;8902;8.46881;530247;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;95/1;1;   5875928;   3634686;0;4291;19051916;4834756;1;8902;9.21122;524877;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;96/1;1;   3632274;   4634758;0;1826;9534425;2366798;1;8902;4.7741;495758;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;97/1;1;   3762084;   1813719;0;972;4279501;633523;1;8902;1.23332;513672;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;98/1;1;    935811;   1640005;0;3118;15506249;3821396;1;8902;7.12202;536561;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;99/1;1;   2212088;   5403161;0;1421;8831208;2090210;1;8902;3.901;535814;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;0/5;5;   4320996;   3421432;0;1087;6670206;887792;3;8902;1.71569;517456;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/5;5;   2710066;    136691;0;3416;19652589;4285745;1;8736;8.51616;503249;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/5;5;   4833717;    720610;0;2108;10104405;2663189;6;8736;5.08199;524044;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/5;5;   2142831;   2373369;0;1035;5387294;923911;5;8736;1.703;542520;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
