domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   4320996;   3421432;526297;1087;6670199;704924;1;2820;1.92345;366490;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;   2710066;    136691;1567093;3416;19652589;3916578;1;6352;10.1869;384472;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;   4833717;    720610;836952;2108;10104399;2489866;1;6352;5.28507;471113;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;   2142831;   2373369;453817;1035;5387291;799111;1;6352;1.66577;479724;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    553927;   6184741;1398035;2873;16021846;3979084;1;7293;8.25339;482115;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   4290512;   3848681;1075518;2543;13330716;3591328;1;7818;7.87022;456318;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   5084840;   5961415;1110306;3361;13573511;4773924;1;7818;10.4589;456446;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   4846384;    101177;1434573;3058;17388270;4750872;1;8478;10.3481;459106;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;   4520980;    965983;680853;1700;8453023;1427358;1;7818;3.09122;461746;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;   5487394;   5045506;1461607;3620;17334322;6184686;1;9727;14.6297;422750;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;   1926823;    854459;266606;734;3116590;752996;1;7823;1.59697;471516;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;   3088686;   2457940;801693;1455;9247908;967517;1;7823;2.1422;451647;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;   1991621;   6102039;304078;1168;3919717;431673;1;7823;0.86895;496775;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;   1679479;   3135970;1106170;2556;13105182;3404153;1;7823;7.16667;474998;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1063830;   4654604;677346;1626;8671611;1850129;1;7823;3.97162;465837;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   6224466;   1240446;950032;2244;11870571;2678857;1;7823;5.62626;476134;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;   2418674;   4452024;1551555;2926;18598147;4914264;1;8494;10.558;465455;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   4931603;   4141462;188869;537;2204093;160210;1;7823;0.375295;426891;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   5574074;   4243473;288697;878;3358323;246024;1;7823;0.494603;497418;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   3494933;   2858057;1207855;2634;14815641;2929673;1;7823;6.18013;474047;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    181323;    301703;867323;2403;10476956;2068140;1;7823;4.32845;477801;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   3315543;   4157337;1581835;3467;18996346;5649982;1;8435;12.4828;452621;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   3908941;   5345394;2262379;4816;26973067;6228088;1;8917;13.7412;453243;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   5242371;   4655349;941078;1813;11130875;1646647;1;8917;3.5976;457707;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   4961834;   2356084;954506;2642;10622813;1803860;1;8917;4.04563;445879;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;   1035769;   4238789;1384338;3658;16540696;3337249;1;8917;7.2867;457992;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;   5543425;   3773681;561128;1167;7412142;879971;1;8917;1.82626;481844;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   4268952;    369310;1065726;2766;12778648;2313404;1;8917;4.81571;480387;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;   3974048;   3829589;86868;591;1086366;158771;1;8917;0.315599;503078;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
