domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;81762;146103;0;334;334;131036;0;293;0.346352;378332;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;106405;250956;0;546;546;294375;0;511;0.729487;403537;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;273968;266396;0;608;608;318754;0;542;0.734078;434224;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;131084;299861;0;316;316;146129;0;542;0.320239;456313;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;321017;269381;0;215;215;101048;0;542;0.209571;482165;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;81268;114155;0;352;352;140549;0;542;0.370117;379742;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;273110;256843;0;461;461;285047;0;542;0.676999;421045;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;289000;313165;0;362;362;134722;0;542;0.305706;440692;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;206841;130270;0;632;632;307655;0;542;0.717861;428572;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;117373;92727;0;568;568;262447;0;542;0.620924;422671;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;192763;114126;0;617;617;316502;0;542;0.73014;433481;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;253773;62962;0;304;304;153771;0;542;0.347651;442315;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;69635;112392;0;263;263;191936;0;542;0.438396;437814;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;279740;4869;0;265;265;149548;0;542;0.3357;445481;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;188811;247049;0;293;293;218786;0;542;0.488063;448274;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;277191;268154;0;189;189;82744;0;542;0.170407;485568;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;42193;274432;0;327;327;237536;0;542;0.626279;379281;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;285743;146714;0;386;386;169783;0;542;0.371597;456901;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;195854;77647;0;515;515;286679;0;542;0.67833;422625;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;129037;163761;0;510;510;278294;0;542;0.650183;428024;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;85176;1954;0;374;374;173189;0;542;0.392716;441003;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;318603;138230;0;182;182;59302;0;542;0.129339;458502;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;103461;5065;0;249;249;124434;0;542;0.285124;436420;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;299962;134129;0;331;331;188172;0;542;0.420717;447265;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;124461;94197;0;452;452;281550;0;542;0.655548;429488;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;135528;100606;0;291;291;127473;0;542;0.288471;441891;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;100494;30092;0;417;417;243346;0;542;0.59626;408121;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;143119;21648;0;384;384;214518;0;542;0.460801;465533;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;56815;308596;0;207;207;115211;0;542;0.289034;398607;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;305686;120431;0;412;412;168204;0;542;0.370206;454352;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;240362;295149;0;482;482;289179;0;542;0.68239;423773;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;312097;296209;0;360;360;253270;0;542;0.617908;409883;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;282381;258241;0;595;595;309915;0;542;0.706367;438745;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;292606;56169;0;297;297;117647;0;542;0.254406;462438;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;237888;111447;0;488;488;273602;0;542;0.65058;420551;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;51839;224098;0;245;245;140605;0;542;0.327433;429416;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;128418;4215;0;423;423;227153;0;542;0.48341;469897;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;268787;226268;0;398;398;278776;0;542;0.660336;422173;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;309312;168166;0;353;353;241269;0;542;0.611853;394325;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;280948;241995;0;452;452;306188;0;542;0.708436;432203;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;254985;109385;0;470;470;269873;0;542;0.645273;418231;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;196484;113193;0;603;603;314533;0;542;0.729845;430959;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;29905;299818;0;392;392;261128;0;542;0.640059;407975;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;316036;224755;0;466;466;275959;0;542;0.649989;424559;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;2345;195155;0;336;336;263066;0;542;0.646;407223;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;231635;158604;0;511;511;285530;0;542;0.670202;426036;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;8380;114652;0;450;450;315453;0;542;0.728363;433098;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;144351;294832;0;328;328;182144;0;542;0.402228;452838;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;242792;61567;0;332;332;158572;0;542;0.355264;446350;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;136080;278064;0;201;201;90727;0;542;0.188668;480882;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;288270;204684;0;402;402;175205;0;542;0.404907;432704;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;178991;301411;0;435;435;310016;0;542;0.728128;425771;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;138893;192766;0;552;552;300919;0;542;0.685476;438993;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;47239;80468;0;374;374;259535;0;542;0.625295;415060;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;151087;228575;0;502;502;273432;0;542;0.641897;425975;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;222755;97707;0;402;402;236563;0;542;0.596847;396355;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/1;1;38872;119016;0;363;363;273011;0;542;0.658919;414332;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/1;1;267788;194528;0;503;503;309400;0;542;0.713092;433885;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;58/1;1;22537;264517;0;339;339;222686;0;542;0.526486;422967;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;59/1;1;95259;242330;0;368;368;176933;0;542;0.401985;440148;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;60/1;1;268622;236338;0;396;396;281322;0;542;0.671304;419068;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;61/1;1;192347;277821;0;504;504;247265;0;542;0.623596;396515;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;62/1;1;137823;298415;0;354;354;149248;0;542;0.329141;453446;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;63/1;1;282571;194161;0;336;336;173981;0;542;0.391438;444466;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;64/1;1;44959;312326;0;292;292;169765;0;542;0.38064;445999;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;65/1;1;312156;191513;0;383;383;262223;0;542;0.634496;413277;K0;? Unchecked;v1.6.0-12-g7668b80
