domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;81762;146103;0;334;334;130411;1;248;0.174177;748726;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;106405;250956;0;546;546;294480;1;414;0.34585;851468;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;273968;266396;0;608;608;318769;1;444;0.354357;899570;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;131084;299861;0;316;316;146229;1;446;0.153072;955296;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;321017;269381;0;215;215;101429;1;446;0.11363;892625;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;81268;114155;0;352;352;141065;1;446;0.154191;914872;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;273110;256843;0;461;461;285249;1;447;0.303991;938346;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;289000;313165;0;362;362;134917;1;447;0.142131;949243;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;206841;130270;0;632;632;307886;1;447;0.331702;928202;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;117373;92727;0;568;568;262746;1;447;0.27746;946968;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;192763;114126;0;617;617;316542;1;450;0.348433;908473;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;253773;62962;0;304;304;153524;1;450;0.163972;936280;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;69635;112392;0;263;263;191495;1;450;0.217978;878507;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;279740;4869;0;265;265;149000;1;450;0.161441;922938;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;188811;247049;0;293;293;219397;1;450;0.237869;922345;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;277191;268154;0;189;189;82260;1;450;0.0919444;894671;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;42193;274432;0;327;327;237561;1;450;0.260261;912781;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;285743;146714;0;386;386;169784;1;450;0.175385;968066;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;195854;77647;0;515;515;286855;1;450;0.313697;914435;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;129037;163761;0;510;510;278714;1;494;0.302903;920144;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;85176;1954;0;374;374;173038;1;494;0.194526;889539;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;318603;138230;0;182;182;58706;1;494;0.0656848;893753;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;103461;5065;0;249;249;123815;1;494;0.131163;943976;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;299962;134129;0;331;331;188223;1;494;0.207424;907431;BELA0;? Unchecked;v1.6.0-12-g7668b80
