domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;81762;146103;0;334;334;130411;0;214;0.150128;868668;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;106405;250956;0;546;546;294480;0;334;0.314304;936928;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;273968;266396;0;608;608;318769;0;356;0.358475;889236;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;131084;299861;0;316;316;146229;0;357;0.142682;1.02486e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;321017;269381;0;215;215;101429;0;358;0.105457;961803;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;81268;114155;0;352;352;141065;0;358;0.143146;985460;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;273110;256843;0;461;461;285249;0;358;0.293665;971340;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;289000;313165;0;362;362;134917;0;358;0.137554;980833;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;206841;130270;0;632;632;307886;0;358;0.307509;1.00123e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;117373;92727;0;568;568;262746;0;358;0.272032;965866;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;192763;114126;0;617;617;316542;0;360;0.310459;1.01959e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;253773;62962;0;304;304;153524;0;360;0.153733;998638;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;69635;112392;0;263;263;191495;0;360;0.20273;944581;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;279740;4869;0;265;265;149000;0;360;0.153109;973162;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;188811;247049;0;293;293;219397;0;360;0.221525;990395;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;277191;268154;0;189;189;82260;0;360;0.0839915;979385;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;42193;274432;0;327;327;237561;0;360;0.239409;992282;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;285743;146714;0;386;386;169784;0;360;0.172309;985345;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;195854;77647;0;515;515;286855;0;360;0.293338;977898;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
