domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1158641;1272769;0;1397;1397;1393360;0;2457;3.9949;348785;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;54758;1370062;0;751;751;839893;0;2457;2.09717;400488;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;935047;1190851;0;329;329;110581;0;2457;0.248946;444198;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;548674;1730064;0;459;459;594516;0;2457;1.59031;373838;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;713105;1135162;0;209;209;76588;0;2457;0.167923;456091;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1213983;1847687;0;647;647;1218839;0;2457;3.27699;371939;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;1416819;1454455;0;430;430;509775;0;2457;1.35829;375307;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;1202525;1287863;0;424;424;509195;0;2457;1.39637;364658;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;416104;1824062;0;810;810;950368;0;2457;2.50549;379315;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;350612;1840987;0;1321;1321;1718333;0;2868;4.45845;385411;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;581610;1031954;0;957;957;1215648;0;2869;3.19653;380302;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;329503;1179401;0;443;443;730336;0;2869;1.94045;376375;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;480267;159302;0;1020;1020;1105252;0;2869;2.95169;374448;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;1890527;1576171;0;1188;1188;1600794;0;2869;4.22268;379094;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1743677;933040;0;661;661;927545;0;2869;2.62542;353295;K0;? Unchecked;v1.6.0-12-g7668b80
