domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1158641;1272769;0;1397;1397;1392961;1;1921;1.86766;745832;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;54758;1370062;0;751;751;840066;1;1973;1.03227;813807;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;935047;1190851;0;329;329;110016;1;1985;0.129281;850983;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;548674;1730064;0;459;459;592688;1;2010;0.725559;816871;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;713105;1135162;0;209;209;76319;1;2010;0.0879637;867619;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1213983;1847687;0;647;647;1220260;1;2018;1.52007;802766;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;1416819;1454455;0;430;430;508643;1;2019;0.590223;861781;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;1202525;1287863;0;424;424;509174;1;2019;0.622253;818276;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;416104;1824062;0;810;810;951006;1;2019;1.12697;843859;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;350612;1840987;0;1321;1321;1718211;1;2387;2.12892;807080;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;581610;1031954;0;957;957;1216224;1;2408;1.41393;860173;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;329503;1179401;0;443;443;729112;1;2408;0.930918;783218;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;480267;159302;0;1020;1020;1105785;1;2413;1.29099;856543;BELA0;? Unchecked;v1.6.0-12-g7668b80
