domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1158641;1272769;0;1397;1397;1392961;0;1569;1.65725;840527;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;54758;1370062;0;751;751;840066;0;1605;0.940919;892814;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;935047;1190851;0;329;329;110016;0;1615;0.120595;912279;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;548674;1730064;0;459;459;592688;0;1631;0.65394;906335;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;713105;1135162;0;209;209;76319;0;1631;0.082779;921961;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1213983;1847687;0;647;647;1220260;0;1638;1.33285;915527;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;1416819;1454455;0;430;430;508643;0;1638;0.533404;953580;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;1202525;1287863;0;424;424;509174;0;1638;0.571763;890534;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;416104;1824062;0;810;810;951006;0;1639;1.03332;920343;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;350612;1840987;0;1321;1321;1718211;0;1913;1.92532;892430;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;581610;1031954;0;957;957;1216224;0;1930;1.27261;955691;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;329503;1179401;0;443;443;729112;0;1933;0.832179;876148;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;480267;159302;0;1020;1020;1105785;0;1933;1.16353;950370;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;1890527;1576171;0;1188;1188;1601181;0;2085;1.85812;861722;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1743677;933040;0;661;661;925398;0;2088;1.06874;865876;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;1460731;1705524;0;1327;1327;1733337;0;2199;1.83566;944260;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;801770;765171;0;1011;1011;810496;0;2211;0.890383;910278;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;1076837;1604094;0;300;300;211892;0;2087;0.226625;934990;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;1431544;194846;0;747;747;927885;0;2087;1.00685;921576;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;1536202;632533;0;622;622;1065848;0;2087;1.16313;916361;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;356711;288578;0;782;782;1316211;0;2087;1.46454;898722;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;1416275;1578430;0;409;409;457493;0;2087;0.500848;913437;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;1267172;1104888;0;1000;1000;1342638;0;2087;1.39303;963825;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;1466216;1076837;0;1029;1029;1350476;0;2087;1.39011;971487;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1228417;41268;0;478;478;405603;0;2087;0.450293;900754;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;321340;192757;0;286;286;213760;0;2087;0.233998;913513;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;965921;1375640;0;921;921;1680995;0;2167;1.89533;886916;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;1657428;779364;0;1012;1012;1369688;0;2176;1.49035;919039;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;454410;618767;0;282;282;319949;0;2176;0.341056;938113;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;1453433;1181632;0;410;410;420954;0;2176;0.46167;911808;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;261444;1761841;0;332;332;190449;0;2176;0.215107;885369;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;1710330;1308565;0;896;896;966168;0;2176;1.04767;922205;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;1622269;239225;0;859;859;1169986;0;2176;1.26508;924834;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;858782;835734;0;377;377;330228;0;2176;0.354678;931064;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;1164733;1686951;0;512;512;111215;0;2176;0.111594;996606;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;1008319;677177;0;951;951;1608937;0;2177;1.84822;870531;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;1646034;1063654;0;1144;1144;1805204;0;2254;1.96874;916934;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;682994;1688601;0;1593;1593;1795734;0;2258;1.82168;985757;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;257300;548822;0;881;881;1323388;0;2258;1.37309;963803;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;1208113;169244;0;179;179;100785;0;2258;0.122793;820769;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;1226440;1391278;0;1346;1346;1679920;0;2259;1.82397;921025;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;122277;1128394;0;552;552;706452;0;2259;0.774703;911900;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;66946;1214669;0;744;744;924013;0;2259;1.04385;885194;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;299055;1685578;0;1358;1358;1804264;0;2259;1.87871;960372;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;1617239;1448010;0;990;990;1473400;0;2259;1.68716;873300;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;88434;220092;0;460;460;584739;0;2259;0.634327;921826;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;765554;1136443;0;384;384;303062;0;2259;0.326632;927839;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;1662423;665304;0;1156;1156;1687790;0;2259;1.86226;906312;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;522581;744644;0;999;999;1205623;0;2259;1.31913;913950;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
