domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;294756;116704;0;730;730;257744;0;488;0.641753;401625;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;325364;11913;0;846;846;364344;0;635;0.901597;404109;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;285177;334042;0;321;321;132556;0;635;0.314575;421381;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;236480;66871;0;512;512;312856;0;635;0.73355;426496;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;249937;358183;0;659;659;344427;0;635;0.810489;424962;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;278932;202424;0;760;760;400398;0;677;0.922755;433916;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;430744;255885;0;441;441;270125;0;677;0.654451;412751;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;167653;110820;0;402;402;211223;0;677;0.465203;454044;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;389224;209129;0;569;569;317547;0;677;0.731444;434137;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;361295;369960;0;173;173;48076;0;677;0.0932648;515478;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;63073;122016;0;311;311;179539;0;677;0.410412;437460;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;377280;89101;0;733;733;306106;0;677;0.7067;433149;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;184086;9250;0;357;357;154703;0;677;0.345116;448264;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;11558;157695;0;262;262;202987;0;677;0.452894;448200;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;290606;380934;0;577;577;122538;0;677;0.256786;477199;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;312872;335255;0;711;711;156448;0;677;0.332706;470230;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;172626;340963;0;368;368;82525;0;677;0.163292;505382;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;71257;309332;0;571;571;358796;0;677;0.844389;424918;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;197543;272443;0;601;601;394887;0;677;0.915973;431112;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;115849;293642;0;863;863;422754;0;709;0.958681;440974;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;96029;288190;0;887;887;424282;0;711;0.952161;445599;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;123302;388474;0;490;490;324757;0;711;0.747593;434404;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;395621;154547;0;847;847;261374;0;711;0.575325;454307;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;223763;127629;0;429;429;299282;0;711;0.700877;427011;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;327745;375938;0;827;827;389662;0;711;0.909428;428469;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;175197;5809;0;622;622;230551;0;711;0.532241;433171;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;188424;158412;0;515;515;287871;0;711;0.681713;422276;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;268346;359471;0;471;471;277688;0;711;0.677772;409707;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;174382;236731;0;723;723;389475;0;711;0.896892;434250;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;204045;159790;0;555;555;294061;0;711;0.70074;419643;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;390757;318002;0;270;270;54232;0;711;0.108143;501486;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;91059;57980;0;693;693;235436;0;711;0.529674;444492;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;72990;320575;0;703;703;362415;0;711;0.851465;425637;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;65526;339114;0;792;792;401733;0;711;0.921427;435990;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;349165;12701;0;353;353;181334;0;711;0.404077;448760;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;187769;228911;0;320;320;107050;0;711;0.247115;433200;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;190262;14733;0;726;726;345833;0;711;0.776262;445510;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;143799;328188;0;264;264;163793;0;711;0.367875;445241;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;96331;415538;0;798;798;368839;0;711;0.856762;430504;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;65115;387688;0;627;627;347228;0;711;0.795981;436226;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;332193;387507;0;538;538;329904;0;711;0.768372;429355;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;127669;162338;0;510;510;246353;0;711;0.556601;442603;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;263041;142943;0;377;377;199137;0;711;0.450056;442472;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;390723;1064;0;555;555;316500;0;711;0.727298;435172;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;304490;279242;0;933;933;426173;0;717;0.962904;442592;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;26846;394583;0;829;829;413682;0;717;0.935468;442219;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;233353;185925;0;557;557;335173;0;717;0.775819;432025;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;323833;176822;0;425;425;69316;0;717;0.136398;508191;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;346446;63237;0;504;504;308360;0;717;0.721328;427489;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;113928;360799;0;306;306;183510;0;717;0.416065;441061;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;199421;266182;0;536;536;336089;0;717;0.771905;435402;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;293869;25608;0;896;896;350502;0;717;0.858741;408158;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;174170;272593;0;502;502;122640;0;717;0.254147;482555;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;221325;434952;0;499;499;326802;0;717;0.750669;435348;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;117635;105076;0;178;178;84963;0;717;0.182324;466000;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;193103;276461;0;493;493;174200;0;717;0.391596;444846;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/1;1;4570;94284;0;800;800;394970;0;717;0.904766;436544;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/1;1;131126;21354;0;441;441;233934;0;717;0.540132;433105;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;58/1;1;235750;208824;0;381;381;255334;0;717;0.629364;405702;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;59/1;1;489;261832;0;230;230;134180;0;717;0.317857;422139;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;60/1;1;318387;328863;0;808;808;380097;0;717;0.871124;436330;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;61/1;1;274877;23528;0;449;449;225304;0;717;0.533508;422306;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;62/1;1;220394;272522;0;439;439;293541;0;717;0.68639;427659;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;63/1;1;228259;177627;0;764;764;413543;0;717;0.9439;438122;K0;? Unchecked;v1.6.0-12-g7668b80
