domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;294756;116704;0;730;730;258004;1;390;0.317544;812500;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;325364;11913;0;846;846;363912;1;515;0.423679;858933;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;285177;334042;0;321;321;131499;1;524;0.153247;858086;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;236480;66871;0;512;512;313148;1;526;0.347233;901838;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;249937;358183;0;659;659;344391;1;527;0.375654;916778;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;278932;202424;0;760;760;400775;1;557;0.458702;873715;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;430744;255885;0;441;441;270229;1;559;0.297761;907537;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;167653;110820;0;402;402;211327;1;559;0.235354;897913;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;389224;209129;0;569;569;318408;1;562;0.347643;915905;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;361295;369960;0;173;173;47514;1;562;0.0545576;870896;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;63073;122016;0;311;311;179467;1;562;0.208424;861066;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;377280;89101;0;733;733;305294;1;562;0.328456;929483;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;184086;9250;0;357;357;155891;1;562;0.172172;905438;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;11558;157695;0;262;262;202846;1;562;0.229009;885757;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;290606;380934;0;577;577;122407;1;562;0.126909;964529;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;312872;335255;0;711;711;156057;1;562;0.165278;944208;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;172626;340963;0;368;368;82842;1;562;0.0873865;947995;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;71257;309332;0;571;571;359651;1;614;0.41549;865607;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;197543;272443;0;601;601;394322;1;633;0.446964;882224;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;115849;293642;0;863;863;422657;1;663;0.464685;909557;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;96029;288190;0;887;887;424506;1;678;0.448204;947127;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;123302;388474;0;490;490;324940;1;679;0.345221;941253;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;395621;154547;0;847;847;260204;1;679;0.262901;989741;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;223763;127629;0;429;429;299341;1;679;0.369072;811065;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;327745;375938;0;827;827;389613;1;679;0.433923;897885;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;175197;5809;0;622;622;230697;1;679;0.245798;938565;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;188424;158412;0;515;515;287528;1;679;0.31272;919443;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;268346;359471;0;471;471;277456;1;679;0.305845;907179;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;174382;236731;0;723;723;389375;1;679;0.430694;904063;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;204045;159790;0;555;555;293853;1;679;0.32148;914063;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;390757;318002;0;270;270;54614;1;679;0.0599123;911566;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;91059;57980;0;693;693;235001;1;679;0.246078;954987;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;72990;320575;0;703;703;362386;1;679;0.410651;882468;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;65526;339114;0;792;792;401662;1;679;0.43939;914136;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;349165;12701;0;353;353;182195;1;679;0.207986;875996;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;187769;228911;0;320;320;106322;1;679;0.119724;888056;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;190262;14733;0;726;726;345748;1;679;0.364353;948937;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;143799;328188;0;264;264;163988;1;679;0.180976;906133;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;96331;415538;0;798;798;369337;1;679;0.411546;897438;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;65115;387688;0;627;627;347070;1;679;0.376128;922743;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;332193;387507;0;538;538;329854;1;679;0.367328;897983;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;127669;162338;0;510;510;245491;1;679;0.261778;937783;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;263041;142943;0;377;377;198859;1;679;0.226706;877165;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;390723;1064;0;555;555;315378;1;679;0.354393;889911;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;304490;279242;0;933;933;426054;1;679;0.465931;914414;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;26846;394583;0;829;829;413640;1;679;0.458679;901808;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;233353;185925;0;557;557;335084;1;679;0.370568;904245;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;323833;176822;0;425;425;69379;1;679;0.071404;971641;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;346446;63237;0;504;504;307455;1;679;0.338845;907362;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;113928;360799;0;306;306;182669;1;679;0.211877;862147;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;199421;266182;0;536;536;336211;1;679;0.367598;914615;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;293869;25608;0;896;896;351491;1;679;0.394338;891344;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;174170;272593;0;502;502;122758;1;679;0.135517;905850;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;221325;434952;0;499;499;327227;1;679;0.356738;917276;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;117635;105076;0;178;178;85376;1;679;0.099673;856561;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;193103;276461;0;493;493;175087;1;679;0.199669;876886;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/1;1;4570;94284;0;800;800;395023;1;679;0.45596;866355;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/1;1;131126;21354;0;441;441;234143;1;679;0.255962;914756;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;58/1;1;235750;208824;0;381;381;254988;1;679;0.280478;909121;BELA0;? Unchecked;v1.6.0-12-g7668b80
