domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;294756;116704;0;730;730;258004;0;328;0.283873;908873;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;325364;11913;0;846;846;363912;0;419;0.384994;945240;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;285177;334042;0;321;321;131499;0;424;0.140804;933916;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;236480;66871;0;512;512;313148;0;426;0.315578;992299;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;249937;358183;0;659;659;344391;0;427;0.346171;994857;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;278932;202424;0;760;760;400775;0;448;0.410202;977019;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;430744;255885;0;441;441;270229;0;450;0.272909;990179;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;167653;110820;0;402;402;211327;0;450;0.213894;987998;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;389224;209129;0;569;569;318408;0;450;0.327971;970842;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;361295;369960;0;173;173;47514;0;450;0.0501948;946592;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;63073;122016;0;311;311;179467;0;450;0.191985;934798;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;377280;89101;0;733;733;305294;0;450;0.299065;1.02083e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;184086;9250;0;357;357;155891;0;450;0.177723;877158;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;11558;157695;0;262;262;202846;0;450;0.208741;971760;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;290606;380934;0;577;577;122407;0;450;0.139378;878237;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;312872;335255;0;711;711;156057;0;450;0.145508;1.0725e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;172626;340963;0;368;368;82842;0;450;0.0903907;916489;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;71257;309332;0;571;571;359651;0;450;0.379883;946741;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;197543;272443;0;601;601;394322;0;450;0.414622;951041;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;115849;293642;0;863;863;422657;0;523;0.430923;980818;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;96029;288190;0;887;887;424506;0;536;0.412917;1.02807e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;123302;388474;0;490;490;324940;0;537;0.325799;997364;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;395621;154547;0;847;847;260204;0;537;0.242728;1.072e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;223763;127629;0;429;429;299341;0;537;0.295733;1.0122e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;327745;375938;0;827;827;389613;0;537;0.396677;982191;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;175197;5809;0;622;622;230697;0;537;0.223948;1.03014e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;188424;158412;0;515;515;287528;0;537;0.285313;1.00776e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;268346;359471;0;471;471;277456;0;537;0.280953;987554;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
