domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;2812817;1167904;0;303;303;281810;0;1543;0.823477;342220;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;3370462;2740202;0;2269;2269;1858604;0;3664;5.21884;356134;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;375732;2115296;0;1234;1234;1011799;0;3665;2.66693;379387;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;2696341;488393;0;1571;1571;3111001;0;5246;8.86021;351121;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1015669;1608282;0;1833;1833;3312100;0;5501;8.97421;369069;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1531009;2220134;0;1253;1253;759533;0;5501;1.89077;401705;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;1796728;3022556;0;1218;1218;2545462;0;5501;7.10705;358160;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;3076540;348633;0;976;976;1688393;0;5501;4.57999;368646;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;3066288;2768145;0;1543;1543;1977925;0;5501;5.35739;369196;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;1178125;1978876;0;933;933;1567618;0;5501;4.36487;359144;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;2869938;1049793;0;1738;1738;2536738;0;5501;6.80652;372693;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;3419615;308712;0;709;709;1016084;0;5501;2.67485;379866;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;1657412;705191;0;661;661;589797;0;5501;1.65949;355408;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;804226;2149998;0;787;787;1272468;0;5501;3.43076;370899;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1679753;3477063;0;1459;1459;3010598;0;5501;8.40968;357992;K0;? Unchecked;v1.6.0-12-g7668b80
