domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;2812817;1167904;0;303;303;282095;1;1339;0.39447;715124;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;3370462;2740202;0;2269;2269;1859368;1;2948;2.49237;746023;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;375732;2115296;0;1234;1234;1011622;1;3017;1.19531;846324;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;2696341;488393;0;1571;1571;3111802;1;4187;4.18205;744086;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1015669;1608282;0;1833;1833;3313011;1;4563;4.22006;785063;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1531009;2220134;0;1253;1253;759867;1;4593;0.921629;824483;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;1796728;3022556;0;1218;1218;2545886;1;4604;3.15507;806919;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;3076540;348633;0;976;976;1686372;1;4605;2.15333;783147;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;3066288;2768145;0;1543;1543;1978259;1;4605;2.30777;857218;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;1178125;1978876;0;933;933;1568771;1;4605;2.06956;758023;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;2869938;1049793;0;1738;1738;2537656;1;4609;2.8694;884384;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;3419615;308712;0;709;709;1018074;1;4609;1.20009;848328;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;1657412;705191;0;661;661;590360;1;4609;0.761715;775040;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;804226;2149998;0;787;787;1268734;1;4609;1.56265;811913;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1679753;3477063;0;1459;1459;3010829;1;4833;3.86907;778180;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;3234685;580806;0;545;545;989464;1;4836;1.27718;774727;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;3494276;2525044;0;916;916;1059681;1;4840;1.24334;852286;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;1684832;899334;0;459;459;649040;1;4845;0.838684;773879;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;2326731;2015380;0;992;992;1023520;1;4845;1.18215;865813;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;1536963;3178092;0;1349;1349;1169124;1;4845;1.3116;891373;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;717033;875747;0;983;983;1313070;1;4845;1.59624;822603;BELA0;? Unchecked;v1.6.0-12-g7668b80
