domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;2812817;1167904;0;303;303;282095;0;1293;0.370891;760587;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;3370462;2740202;0;2269;2269;1859368;0;2473;2.3558;789272;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;375732;2115296;0;1234;1234;1011622;0;2524;1.18473;853883;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;2696341;488393;0;1571;1571;3111802;0;3355;3.92579;792657;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1015669;1608282;0;1833;1833;3313011;0;3653;3.97366;833744;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1531009;2220134;0;1253;1253;759867;0;3678;0.89663;847470;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;1796728;3022556;0;1218;1218;2545886;0;3689;2.95508;861527;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;3076540;348633;0;976;976;1686372;0;3691;2.03069;830445;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;3066288;2768145;0;1543;1543;1978259;0;3691;2.24159;882526;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;1178125;1978876;0;933;933;1568771;0;3691;1.93541;810562;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;2869938;1049793;0;1738;1738;2537656;0;3691;2.75948;919614;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;3419615;308712;0;709;709;1018074;0;3691;1.15917;878277;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;1657412;705191;0;661;661;590360;0;3691;0.719784;820190;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;804226;2149998;0;787;787;1268734;0;3691;1.45777;870323;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1679753;3477063;0;1459;1459;3010829;0;3830;3.67836;818526;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;3234685;580806;0;545;545;989464;0;3832;1.20717;819656;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;3494276;2525044;0;916;916;1059681;0;3833;1.19426;887315;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;1684832;899334;0;459;459;649040;0;3833;0.782311;829644;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;2326731;2015380;0;992;992;1023520;0;3833;1.16566;878059;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;1536963;3178092;0;1349;1349;1169124;0;3833;1.34091;871888;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;717033;875747;0;983;983;1313070;0;3833;1.52326;862015;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;2004465;517105;0;1787;1787;3284089;0;4065;3.91536;838770;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;2523271;357779;0;2027;2027;3485969;0;4352;4.11056;848053;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;1835542;2285912;0;1976;1976;3306000;0;4367;3.88395;851196;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1534383;150970;0;2748;2748;3086498;0;4250;3.47006;889466;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;1414604;53833;0;1189;1189;754827;0;4250;0.91348;826320;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;2645050;2905814;0;844;844;1922207;0;4086;2.31997;828546;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;1199265;732890;0;1232;1232;1578020;0;4086;1.87958;839559;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;1813281;1843282;0;1374;1374;2052609;0;4086;2.44562;839299;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;2635344;1986506;0;1012;1012;2247533;0;4086;2.65773;845658;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;3430105;2268771;0;1330;1330;2464909;0;4086;2.76573;891231;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;2951075;2910139;0;427;427;454399;0;4086;0.527898;860771;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;1292333;856017;0;836;836;1447576;0;4086;1.87099;773693;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;1280852;1933387;0;971;971;1735001;0;4086;2.09804;826961;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;3590294;190932;0;1990;1990;3261390;0;4113;3.74874;869997;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;1189819;652029;0;1012;1012;1753666;0;4114;2.11661;828527;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;3448868;1628366;0;1693;1693;2151688;0;4114;2.38172;903419;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;543126;286557;0;1852;1852;2703915;0;4114;3.00281;900461;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;2139013;53282;0;392;392;364432;0;4114;0.453277;803994;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;198489;1142903;0;504;504;597716;0;4114;0.708855;843214;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;2642040;635481;0;282;282;290800;0;4114;0.337888;860640;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;1321964;187100;0;1922;1922;3231474;0;4114;3.69643;874214;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;1824408;3283788;0;1224;1224;1807888;0;4114;2.2426;806156;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
