domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;883356;105386;0;673;673;868244;0;1504;2.40536;360963;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;149794;92632;0;646;646;858333;0;1505;2.15698;397933;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;623571;945900;0;569;569;534851;0;1505;1.42668;374893;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;294831;573571;0;495;495;745194;0;1505;1.93496;385121;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;936193;1006096;0;485;485;637528;0;1505;1.66205;383580;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;815886;19665;0;542;542;556385;0;1505;1.48312;375145;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;298849;646451;0;1332;1332;1021036;0;1783;2.78169;367056;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;310391;1015181;0;587;587;920369;0;1738;2.44939;375755;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;868761;91493;0;727;727;819021;0;1738;2.02862;403733;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;890642;1062512;0;699;699;898774;0;1738;2.34272;383646;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;582136;473282;0;990;990;939779;0;1738;2.42096;388184;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;564482;405363;0;721;721;892032;0;1738;2.30041;387770;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;291936;838165;0;475;475;456907;0;1738;1.16334;392756;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;955479;136626;0;530;530;767902;0;1738;2.03784;376822;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;643325;1010122;0;1024;1024;474684;0;1738;1.1864;400105;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;456649;695270;0;456;456;518270;0;1738;1.39142;372477;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;978938;710219;0;609;609;528152;0;1738;1.374;384390;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;875760;608511;0;713;713;866131;0;1738;2.17182;398804;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;821322;475213;0;790;790;919729;0;1738;2.40618;382235;K0;? Unchecked;v1.6.0-12-g7668b80
