domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;883356;105386;0;673;673;868091;1;1221;1.20843;718365;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;149794;92632;0;646;646;858625;1;1439;1.05829;811335;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;623571;945900;0;569;569;534538;1;1454;0.606805;880905;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;294831;573571;0;495;495;746048;1;1456;0.911846;818173;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;936193;1006096;0;485;485;638515;1;1462;0.794365;803805;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;815886;19665;0;542;542;557665;1;1462;0.637044;875394;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;298849;646451;0;1332;1332;1021202;1;1605;1.12993;903771;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;310391;1015181;0;587;587;919909;1;1615;1.08415;848506;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;868761;91493;0;727;727;819111;1;1616;0.932385;878512;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;890642;1062512;0;699;699;898651;1;1616;1.02206;879254;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;582136;473282;0;990;990;939619;1;1616;1.02413;917481;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;564482;405363;0;721;721;892044;1;1616;0.986443;904303;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;291936;838165;0;475;475;457265;1;1616;0.542302;843192;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;955479;136626;0;530;530;770619;1;1616;0.953094;808545;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;643325;1010122;0;1024;1024;475205;1;1616;0.529304;897792;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;456649;695270;0;456;456;518058;1;1616;0.596967;867816;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;978938;710219;0;609;609;529612;1;1616;0.605944;874028;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;875760;608511;0;713;713;865673;1;1616;1.01863;849838;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;821322;475213;0;790;790;919523;1;1616;1.05223;873882;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;690387;193137;0;483;483;826314;1;1616;1.0374;796522;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;1026795;530173;0;766;766;298493;1;1616;0.33136;900813;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;1013587;979915;0;515;515;633251;1;1616;0.713842;887103;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;344428;623929;0;621;621;840447;1;1616;0.971264;865312;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;1047069;734986;0;829;829;833302;1;1616;0.958777;869130;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;916282;284238;0;1387;1387;858653;1;1616;0.964893;889895;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;873798;670800;0;320;320;240151;1;1616;0.27628;869230;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;887865;489833;0;416;416;348023;1;1616;0.399345;871485;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;208817;287658;0;503;503;521492;1;1616;0.607848;857932;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;243713;720933;0;671;671;791096;1;1616;0.932688;848189;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;704466;104814;0;406;406;649259;1;1616;0.770471;842678;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;710104;785562;0;303;303;385724;1;1616;0.479108;805088;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;1026321;586782;0;1360;1360;1009471;1;1627;1.13878;886447;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;206993;152843;0;312;312;184803;1;1628;0.220058;839793;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;845953;150468;0;316;316;455710;1;1628;0.552722;824483;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;693526;1020576;0;1070;1070;1026852;1;1628;1.2217;840508;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;879213;783527;0;437;437;458095;1;1628;0.533253;859058;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;367499;724519;0;564;564;772374;1;1628;0.933402;827483;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;979339;55064;0;683;683;662788;1;1628;0.757603;874849;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;559162;220555;0;625;625;819504;1;1628;0.960956;852800;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;762591;343284;0;497;497;606618;1;1628;0.688192;881466;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;1044400;117480;0;841;841;789414;1;1628;0.93452;844726;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;363248;170298;0;479;479;685934;1;1628;0.840342;816255;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;1009437;144357;0;514;514;717997;1;1628;0.914374;785233;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;543673;860935;0;351;351;360962;1;1628;0.455243;792900;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;261055;180190;0;1605;1605;879957;1;1628;1.018;864401;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;618550;765686;0;548;548;547899;1;1628;0.624774;876955;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;75381;791488;0;702;702;778567;1;1628;0.913469;852319;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;957081;528466;0;215;215;114778;1;1628;0.13186;870452;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;730492;1045754;0;846;846;891562;1;1628;1.01205;880943;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;873454;405061;0;395;395;372634;1;1628;0.446171;835181;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;242881;280556;0;420;420;297143;1;1628;0.33677;882333;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;1018486;744416;0;981;981;855330;1;1628;0.992719;861603;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;458576;200599;0;799;799;839891;1;1628;0.983203;854240;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;283625;404396;0;768;768;865086;1;1628;1.02384;844939;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;1008244;454501;0;548;548;874784;1;1628;1.08213;808388;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;639856;761049;0;784;784;803172;1;1628;0.949187;846168;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/1;1;1065961;78609;0;957;957;855536;1;1628;1.00812;848643;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/1;1;145287;644094;0;1371;1371;1035410;1;1628;1.18428;874298;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;58/1;1;499326;463575;0;1035;1035;1068681;1;1628;1.27671;837060;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;59/1;1;42027;799520;0;622;622;668101;1;1628;0.760752;878211;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;60/1;1;875815;99474;0;727;727;962802;1;1628;1.09799;876874;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;61/1;1;841151;944170;0;234;234;242329;1;1628;0.293958;824365;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;62/1;1;1008492;209637;0;582;582;790260;1;1628;0.996701;792876;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;63/1;1;576155;823564;0;572;572;546009;1;1628;0.625964;872270;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;64/1;1;803438;501581;0;595;595;656851;1;1628;0.757459;867177;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;65/1;1;820228;432046;0;387;387;314136;1;1628;0.361777;868313;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;66/1;1;523760;399722;0;619;619;810118;1;1628;0.961946;842166;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;67/1;1;340158;180797;0;496;496;707362;1;1628;0.822149;860382;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;68/1;1;81505;409710;0;559;559;607127;1;1628;0.731852;829576;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;69/1;1;281091;233813;0;329;329;251095;1;1628;0.28716;874407;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;70/1;1;286191;713292;0;199;199;99444;1;1628;0.123353;806174;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;71/1;1;927103;450702;0;297;297;179302;1;1628;0.218461;820750;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;72/1;1;399509;654693;0;254;254;96041;1;1628;0.107983;889412;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;73/1;1;69391;916399;0;1256;1256;1053896;1;1628;1.28686;818966;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;74/1;1;95369;29852;0;1361;1361;1008196;1;1628;1.1134;905509;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;75/1;1;399899;58855;0;944;944;700771;1;1628;0.787477;889894;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;76/1;1;860874;76988;0;435;435;709024;1;1628;0.859643;824789;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;77/1;1;756021;168045;0;697;697;821662;1;1628;0.96244;853728;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;78/1;1;955341;203191;0;423;423;511366;1;1628;0.603199;847756;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;79/1;1;206250;889026;0;402;402;286839;1;1628;0.32299;888074;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;80/1;1;925527;539386;0;479;479;560183;1;1628;0.711224;787632;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;81/1;1;63851;893869;0;245;245;171078;1;1628;0.194576;879233;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;82/1;1;829760;490849;0;361;361;255106;1;1628;0.291236;875943;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;83/1;1;745383;65573;0;378;378;407407;1;1628;0.489442;832390;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;84/1;1;660170;779974;0;433;433;597363;1;1628;0.712641;838238;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;85/1;1;617638;129056;0;1104;1104;959571;1;1628;1.08628;883354;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;86/1;1;911994;444759;0;1454;1454;914437;1;1628;1.04087;878535;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;87/1;1;10763;141032;0;659;659;810928;1;1628;0.964125;841102;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;88/1;1;410479;564107;0;402;402;523028;1;1628;0.614909;850578;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;89/1;1;662614;317257;0;163;163;16675;1;1628;0.0210546;791990;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;90/1;1;678985;821905;0;451;451;663048;1;1628;0.806979;821642;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;91/1;1;782289;952811;0;341;341;337545;1;1628;0.390894;863520;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;92/1;1;514457;779839;0;283;283;204180;1;1628;0.272705;748721;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;93/1;1;1012706;632574;0;585;585;881333;1;1628;1.07991;816119;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;94/1;1;451563;498369;0;963;963;899424;1;1628;1.0321;871446;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;95/1;1;42793;792875;0;551;551;596266;1;1628;0.70148;850012;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;96/1;1;870793;417684;0;316;316;242012;1;1628;0.280444;862960;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;97/1;1;675683;967864;0;275;275;216779;1;1628;0.251752;861082;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;98/1;1;190012;547880;0;656;656;697158;1;1628;0.800502;870901;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;99/1;1;581175;726674;0;259;259;216253;1;1628;0.254634;849268;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;0/2;2;883356;105386;0;673;673;868091;1;1628;1.05145;825613;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/2;2;149794;92632;0;646;646;858625;1;1628;1.03757;827535;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/2;2;623571;945900;0;569;569;534538;1;1628;0.615541;868403;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/2;2;294831;573571;0;495;495;746048;1;1628;0.982937;758998;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/2;2;936193;1006096;0;485;485;638515;1;1628;0.768112;831279;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/2;2;815886;19665;0;542;542;557665;1;1628;0.6498;858210;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/2;2;298849;646451;0;1332;1332;1021202;1;1628;1.14331;893201;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/2;2;310391;1015181;0;587;587;919909;1;1628;1.10592;831806;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/2;2;868761;91493;0;727;727;819111;1;1628;0.956787;856106;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/2;2;890642;1062512;0;699;699;898651;1;1628;1.05149;854644;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/2;2;582136;473282;0;990;990;939619;1;1628;1.07594;873303;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/2;2;564482;405363;0;721;721;892044;1;1628;1.01528;878620;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/2;2;291936;838165;0;475;475;457265;1;1628;0.528668;864938;BELA0;? Unchecked;v1.6.0-12-g7668b80
