domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;883356;105386;0;673;673;868091;0;997;1.04715;829002;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;149794;92632;0;646;646;858625;0;1151;0.984486;872156;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;623571;945900;0;569;569;534538;0;1162;0.551684;968921;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;294831;573571;0;495;495;746048;0;1164;0.816201;914049;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;936193;1006096;0;485;485;638515;0;1166;0.673893;947502;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;815886;19665;0;542;542;557665;0;1167;0.581478;959048;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;298849;646451;0;1332;1332;1021202;0;1270;1.03941;982478;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;310391;1015181;0;587;587;919909;0;1195;0.979426;939233;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;868761;91493;0;727;727;819111;0;1195;0.853525;959681;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;890642;1062512;0;699;699;898651;0;1202;0.911565;985834;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;582136;473282;0;990;990;939619;0;1216;0.940395;999175;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;564482;405363;0;721;721;892044;0;1217;0.890269;1.00199e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;291936;838165;0;475;475;457265;0;1217;0.483941;944878;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;955479;136626;0;530;530;770619;0;1217;0.856988;899217;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;643325;1010122;0;1024;1024;475205;0;1217;0.490236;969339;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;456649;695270;0;456;456;518058;0;1217;0.538915;961299;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;978938;710219;0;609;609;529612;0;1217;0.556613;951490;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;875760;608511;0;713;713;865673;0;1217;0.914601;946504;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;821322;475213;0;790;790;919523;0;1222;0.943438;974651;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;690387;193137;0;483;483;826314;0;1222;0.922882;895362;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;1026795;530173;0;766;766;298493;0;1222;0.306436;974080;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;1013587;979915;0;515;515;633251;0;1222;0.678591;933185;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;344428;623929;0;621;621;840447;0;1222;0.882565;952278;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;1047069;734986;0;829;829;833302;0;1222;0.876174;951069;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;916282;284238;0;1387;1387;858653;0;1222;0.886501;968587;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;873798;670800;0;320;320;240151;0;1222;0.2612;919415;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;887865;489833;0;416;416;348023;0;1222;0.36231;960566;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;208817;287658;0;503;503;521492;0;1222;0.55388;941525;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;243713;720933;0;671;671;791096;0;1222;0.848113;932772;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;704466;104814;0;406;406;649259;0;1222;0.692775;937186;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;710104;785562;0;303;303;385724;0;1222;0.436904;882858;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;1026321;586782;0;1360;1360;1009471;0;1282;1.02292;986851;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;206993;152843;0;312;312;184803;0;1282;0.203975;906009;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;845953;150468;0;316;316;455710;0;1283;0.527412;864049;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;693526;1020576;0;1070;1070;1026852;0;1289;1.07705;953397;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;879213;783527;0;437;437;458095;0;1290;0.482923;948588;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
