domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1115366;838598;0;1308;1308;2101954;0;3774;6.42951;326923;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;2359764;256548;0;1139;1139;1067435;0;3685;3.75719;284105;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;851400;335671;0;1886;1886;1552192;0;3686;4.1558;373500;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;2756143;1673213;0;2799;2799;2619014;0;4581;7.03333;372372;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;2325653;428695;0;2086;2086;1806204;0;4581;4.88769;369541;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1075433;2506558;0;806;806;857836;0;4581;2.24068;382846;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;911091;2114343;0;2411;2411;2116059;0;4581;5.93443;356573;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;239421;2586994;0;828;828;1459975;0;4581;4.03071;362213;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;1824096;2728472;0;1192;1192;1634227;0;4581;4.27885;381931;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;673698;985450;0;2379;2379;2510744;0;4581;6.60719;380002;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;1460876;2226624;0;276;276;119489;0;4581;0.267884;446047;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;885859;653597;0;810;810;642676;0;4581;1.61411;398161;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;70081;782690;0;831;831;1257213;0;4581;3.31572;379168;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;873642;2448581;0;507;507;343991;0;4581;0.827875;415511;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1074276;1452981;0;1571;1571;1853680;0;4581;5.01066;369947;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;2463664;2549808;0;2641;2641;2510558;0;4581;6.63721;378255;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;2113788;1336254;0;846;846;1103525;0;4581;3.04934;361890;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;2271635;2749283;0;478;478;205698;0;4581;0.475475;432616;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;2000270;1596275;0;294;294;196842;0;4581;0.451508;435966;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;2348933;2566997;0;2272;2272;2113921;0;4581;5.92603;356718;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;391489;1980211;0;1629;1629;2489066;0;4581;6.55106;379948;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;2302230;2038397;0;901;901;1468656;0;4581;4.00178;367000;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;1846005;2355404;0;1611;1611;2458588;0;4581;6.48673;379018;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;1602942;2159060;0;900;900;1060131;0;4581;2.92895;361949;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1657551;1882245;0;690;690;503110;0;4581;1.33604;376569;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;1094589;1739005;0;2301;2301;2328220;0;4581;6.28925;370190;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;2291580;2193670;0;703;703;794638;0;4581;2.03113;391230;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;2447287;757920;0;471;471;261595;0;4581;0.654606;399622;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;2143024;1938376;0;1939;1939;2383838;0;4581;6.40645;372100;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;1588813;2591384;0;523;523;319764;0;4581;0.765855;417525;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;2430034;97705;0;896;896;1108374;0;4581;3.11231;356125;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;131344;1935792;0;1995;1995;2379271;0;4581;6.36364;373885;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;635607;2727895;0;1905;1905;2004730;0;4581;5.68196;352824;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;2209937;1105166;0;1434;1434;1797908;0;4581;4.89243;367488;K0;? Unchecked;v1.6.0-12-g7668b80
