domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1115366;838598;0;1308;1308;2102380;1;2988;2.92468;718840;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;2359764;256548;0;1139;1139;1066101;1;3099;1.26989;839522;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;851400;335671;0;1886;1886;1552760;1;3158;1.9272;805708;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;2756143;1673213;0;2799;2799;2618616;1;3702;3.04961;858672;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;2325653;428695;0;2086;2086;1806504;1;3752;2.121;851724;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1075433;2506558;0;806;806;858215;1;3759;1.07496;798366;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;911091;2114343;0;2411;2411;2116619;1;3761;2.49878;847062;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;239421;2586994;0;828;828;1460511;1;3761;1.92101;760283;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;1824096;2728472;0;1192;1192;1633838;1;3761;2.01432;811111;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;673698;985450;0;2379;2379;2510677;1;3761;2.82452;888888;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;1460876;2226624;0;276;276;118657;1;3761;0.135367;876555;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;885859;653597;0;810;810;642398;1;3761;0.735328;873621;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;70081;782690;0;831;831;1256136;1;3761;1.485;845881;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;873642;2448581;0;507;507;345042;1;3761;0.395311;872836;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1074276;1452981;0;1571;1571;1853237;1;3761;2.19883;842829;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;2463664;2549808;0;2641;2641;2510866;1;3761;2.84231;883390;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;2113788;1336254;0;846;846;1103522;1;3761;1.36322;809495;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;2271635;2749283;0;478;478;205496;1;3761;0.246381;834058;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;2000270;1596275;0;294;294;195897;1;3761;0.236079;829795;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;2348933;2566997;0;2272;2272;2113324;1;3761;2.4821;851424;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;391489;1980211;0;1629;1629;2488106;1;3761;2.8389;876434;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;2302230;2038397;0;901;901;1469141;1;3761;1.91618;766702;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;1846005;2355404;0;1611;1611;2457973;1;3761;2.89024;850439;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;1602942;2159060;0;900;900;1060107;1;3761;1.30937;809633;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1657551;1882245;0;690;690;502703;1;3761;0.573643;876334;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;1094589;1739005;0;2301;2301;2328162;1;3761;2.76085;843278;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;2291580;2193670;0;703;703;794481;1;3761;0.971302;817954;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;2447287;757920;0;471;471;262460;1;3761;0.306403;856585;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;2143024;1938376;0;1939;1939;2383421;1;3761;2.81846;845647;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;1588813;2591384;0;523;523;320160;1;3761;0.363055;881850;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;2430034;97705;0;896;896;1107718;1;3761;1.39906;791758;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;131344;1935792;0;1995;1995;2379880;1;3761;2.80408;848719;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;635607;2727895;0;1905;1905;2003844;1;3761;2.34782;853490;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;2209937;1105166;0;1434;1434;1799230;1;3761;2.19243;820655;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;1675442;1951716;0;666;666;471424;1;3761;0.54386;866811;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;1992142;1079478;0;696;696;830846;1;3761;1.01314;820068;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;733918;343910;0;3284;3284;2673464;1;3761;3.03872;879799;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;1271188;1831769;0;506;506;693361;1;3761;0.86261;803794;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;2330867;2043573;0;1104;1104;652986;1;3761;0.736542;886556;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;282474;146385;0;967;967;1091430;1;3761;1.34369;812266;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;39669;1016737;0;486;486;375705;1;3761;0.476478;788505;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;869336;2256564;0;1840;1840;1232904;1;3761;1.46764;840058;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;1485226;2523974;0;1456;1456;1990656;1;3761;2.36091;843174;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;2315942;1275499;0;663;663;741686;1;3761;0.921148;805175;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;2281834;617279;0;1796;1796;2436706;1;3761;2.8453;856397;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;1769359;2145253;0;2314;2314;1648687;1;3761;2.02541;814001;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;1771145;908426;0;705;705;471502;1;3761;0.543973;866775;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;270771;1673843;0;1329;1329;2021920;1;3761;2.40566;840486;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;2657384;1777886;0;2155;2155;2317239;1;3761;2.73824;846252;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;95731;37867;0;686;686;979035;1;3761;1.19789;817300;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;518132;1667850;0;1556;1556;2197195;1;3761;2.62309;837637;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;2307373;303269;0;955;955;1560217;1;3761;2.00148;779532;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;1395776;582082;0;2322;2322;2748947;1;3824;3.12645;879254;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;973338;2386314;0;2789;2789;2715518;1;3829;3.11307;872297;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;1677235;1450945;0;1388;1388;1319895;1;3830;1.55301;849897;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;2526862;968256;0;201;201;109412;1;3830;0.126839;862604;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/1;1;219840;466679;0;647;647;1002667;1;3831;1.27871;784125;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/1;1;2616808;1747076;0;2625;2625;2713142;1;3831;3.09562;876445;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;58/1;1;2141713;1609497;0;1329;1329;2100411;1;3831;2.58215;813435;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;59/1;1;1092055;1854282;0;1356;1356;1792396;1;3831;2.19152;817877;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;60/1;1;2593918;2504223;0;308;308;170741;1;3831;0.193336;883133;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;61/1;1;825906;1139625;0;971;971;1129972;1;3831;1.43131;789467;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;62/1;1;1485659;1848089;0;1028;1028;1232272;1;3831;1.50275;820010;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;63/1;1;35821;73026;0;597;597;523772;1;3831;0.625316;837612;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;64/1;1;889978;237218;0;1330;1330;1312232;1;3831;1.54579;848905;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;65/1;1;2339487;289487;0;2105;2105;1186136;1;3831;1.40492;844276;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;66/1;1;506631;886079;0;1466;1466;2253581;1;3831;2.69685;835636;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;67/1;1;645622;417102;0;2165;2165;1467303;1;3831;1.85838;789560;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;68/1;1;1507877;1262544;0;508;508;514378;1;3831;0.622129;826803;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;69/1;1;55298;1053459;0;308;308;199504;1;3831;0.250631;796005;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;70/1;1;2607626;1242105;0;566;566;837108;1;3831;1.06021;789566;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;71/1;1;227330;1860283;0;555;555;795299;1;3831;1.02751;774009;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;72/1;1;2416206;1083088;0;1419;1419;2035887;1;3831;2.48549;819110;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;73/1;1;652407;1658414;0;733;733;408878;1;3831;0.496659;823256;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;74/1;1;747688;2038704;0;2804;2804;2098048;1;3831;2.52507;830888;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;75/1;1;1006470;1079932;0;587;587;704634;1;3831;0.814275;865351;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;76/1;1;995516;69711;0;273;273;80914;1;3831;0.0923505;876162;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;77/1;1;634602;1133254;0;1766;1766;1826690;1;3831;2.18379;836475;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;78/1;1;793982;2215456;0;346;346;371141;1;3831;0.485741;764071;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;79/1;1;2557782;1744210;0;2877;2877;2674924;1;3831;3.08219;867864;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;80/1;1;1551049;386113;0;156;156;57370;1;3831;0.0720505;796247;BELA0;? Unchecked;v1.6.0-12-g7668b80
