domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1115366;838598;0;1308;1308;2102380;0;2437;2.5349;829374;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;2359764;256548;0;1139;1139;1066101;0;2519;1.14767;928930;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;851400;335671;0;1886;1886;1552760;0;2560;1.74725;888690;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;2756143;1673213;0;2799;2799;2618616;0;2952;2.7489;952606;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;2325653;428695;0;2086;2086;1806504;0;2989;1.9201;940838;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;1075433;2506558;0;806;806;858215;0;2990;0.967783;886784;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;911091;2114343;0;2411;2411;2116619;0;2994;2.25307;939437;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;239421;2586994;0;828;828;1460511;0;2995;1.7286;844909;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;1824096;2728472;0;1192;1192;1633838;0;2995;1.81239;901482;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;673698;985450;0;2379;2379;2510677;0;2995;2.5541;982998;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;1460876;2226624;0;276;276;118657;0;2995;0.124444;953500;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;885859;653597;0;810;810;642398;0;2995;0.670685;957823;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;70081;782690;0;831;831;1256136;0;2995;1.33174;943232;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;873642;2448581;0;507;507;345042;0;2995;0.372259;926887;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1074276;1452981;0;1571;1571;1853237;0;2995;1.99684;928085;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;2463664;2549808;0;2641;2641;2510866;0;2995;2.57017;976926;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;2113788;1336254;0;846;846;1103522;0;2995;1.2169;906833;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;2271635;2749283;0;478;478;205496;0;2995;0.22627;908189;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;2000270;1596275;0;294;294;195897;0;2995;0.215958;907107;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;2348933;2566997;0;2272;2272;2113324;0;2995;2.25999;935104;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;391489;1980211;0;1629;1629;2488106;0;2995;2.5548;973895;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;2302230;2038397;0;901;901;1469141;0;2995;1.6827;873083;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
