domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1472205;1037501;0;1104;1104;1282015;0;2246;3.6994;346547;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;840261;665095;0;515;515;636918;0;2247;1.66567;382381;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;1113303;159676;0;551;551;678029;0;2247;1.79309;378134;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;170927;936423;0;1325;1325;1100097;0;2249;2.90169;379123;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1089842;933368;0;938;938;1051294;0;2249;2.8423;369875;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;754643;1448642;0;945;945;1022651;0;2249;2.93611;348301;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;744848;55159;0;767;767;718452;0;2249;1.94321;369723;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;1066240;613162;0;676;676;853210;0;2249;2.17627;392051;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;892607;946543;0;340;340;208888;0;2249;0.484191;431417;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;1245397;1102353;0;1659;1659;1520666;0;2606;4.0035;379834;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;42548;622075;0;740;740;996585;0;2606;2.80159;355721;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;1234612;1499257;0;367;367;406047;0;2606;1.05484;384936;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;337131;79712;0;655;655;511532;0;2606;1.31991;387549;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;359225;43209;0;553;553;847646;0;2606;2.23295;379609;K0;? Unchecked;v1.6.0-12-g7668b80
