domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1472205;1037501;0;1104;1104;1281554;1;1768;1.70227;752849;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;840261;665095;0;515;515;636691;1;1817;0.753544;844928;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;1113303;159676;0;551;551;676023;1;1853;0.808087;836572;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;170927;936423;0;1325;1325;1100012;1;1866;1.21025;908912;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1089842;933368;0;938;938;1050776;1;1867;1.17545;893935;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;754643;1448642;0;945;945;1021559;1;1868;1.24002;823824;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;744848;55159;0;767;767;716995;1;1868;0.909787;788091;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;1066240;613162;0;676;676;855358;1;1868;1.01729;840819;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;892607;946543;0;340;340;209253;1;1868;0.238221;878398;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;1245397;1102353;0;1659;1659;1520711;1;2179;1.79698;846259;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;42548;622075;0;740;740;998589;1;2201;1.15734;862830;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;1234612;1499257;0;367;367;404724;1;2204;0.493037;820880;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;337131;79712;0;655;655;511743;1;2204;0.560861;912424;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;359225;43209;0;553;553;845470;1;2206;1.05109;804373;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1281094;1427749;0;521;521;807201;1;2208;1.01116;798291;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;430711;346325;0;1429;1429;1472620;1;2209;1.71611;858115;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;1286522;1346508;0;283;283;345948;1;2209;0.41215;839374;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;543105;1060109;0;841;841;1127685;1;2209;1.28588;876973;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;720307;163788;0;1007;1007;1438040;1;2209;1.66203;865231;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;951174;105559;0;231;231;248332;1;2209;0.303864;817246;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;1238169;133741;0;1690;1690;1500342;1;2209;1.74131;861616;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;732959;1232599;0;627;627;572472;1;2209;0.661385;865565;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;428635;901254;0;346;346;484545;1;2209;0.600979;806259;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;677786;1305669;0;295;295;237932;1;2209;0.274109;868020;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1061490;756533;0;820;820;1047236;1;2209;1.16245;900890;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;797834;613193;0;471;471;468584;1;2209;0.551892;849050;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;209950;596109;0;827;827;618734;1;2209;0.665641;929531;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;1199260;869047;0;1454;1454;1404863;1;2209;1.50421;933954;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;1286923;376349;0;264;264;249610;1;2209;0.293918;849250;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;123295;434095;0;1478;1478;1256600;1;2209;1.38601;906630;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;562796;1211165;0;555;555;462064;1;2209;0.535744;862472;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;627055;287907;0;896;896;1122331;1;2209;1.3395;837871;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;1425837;880809;0;233;233;96025;1;2209;0.110823;866476;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;688933;322817;0;698;698;1166934;1;2209;1.4125;826145;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;1249136;275614;0;1384;1384;1466380;1;2209;1.69927;862946;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;887830;1459081;0;262;262;191318;1;2209;0.237656;805021;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;1458335;847567;0;209;209;147667;1;2209;0.17515;843091;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;998229;333252;0;1168;1168;1379685;1;2209;1.54454;893266;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;66963;453054;0;776;776;1024606;1;2209;1.1924;859283;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;1056118;711207;0;519;519;537730;1;2209;0.667099;806072;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;156333;548644;0;1234;1234;968213;1;2209;1.05669;916274;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;653850;1205339;0;1203;1203;1450146;1;2209;1.76611;821098;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;524389;607798;0;568;568;837750;1;2209;1.02104;820487;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;65626;436159;0;847;847;1203267;1;2209;1.44008;835558;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;1111042;952937;0;944;944;1306504;1;2209;1.55212;841756;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;265278;1131380;0;489;489;326330;1;2209;0.36688;889473;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;1326409;489661;0;1043;1043;1402921;1;2209;1.65609;847130;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;1495365;328022;0;1303;1303;1274579;1;2209;1.46761;868474;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;117811;1078105;0;963;963;505320;1;2209;0.55266;914341;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;852370;624417;0;881;881;1018556;1;2209;1.21878;835721;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;597288;351639;0;339;339;282315;1;2209;0.323316;873185;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;1037036;854011;0;1188;1188;1309617;1;2209;1.4776;886313;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;352236;77547;0;521;521;758414;1;2209;0.998002;759932;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;1258144;1499601;0;510;510;632117;1;2209;0.757917;834018;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;416381;97723;0;1150;1150;1134926;1;2209;1.32971;853511;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;144271;858266;0;819;819;1196169;1;2209;1.43185;835403;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/1;1;473992;144045;0;510;510;833761;1;2209;1.06755;781006;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/1;1;578201;865033;0;559;559;401159;1;2209;0.474894;844734;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;58/1;1;417655;81041;0;950;950;973087;1;2209;1.15321;843804;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;59/1;1;376749;1209270;0;444;444;552381;1;2209;0.684737;806705;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;60/1;1;466108;1061066;0;941;941;1060801;1;2209;1.25722;843765;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;61/1;1;149345;511977;0;1105;1105;784181;1;2209;0.907592;864024;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;62/1;1;898008;698768;0;702;702;947573;1;2209;1.12979;838714;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;63/1;1;711871;1522987;0;219;219;62342;1;2209;0.0684509;910755;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;64/1;1;785364;1078872;0;687;687;916613;1;2209;1.14159;802929;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;65/1;1;907000;1091864;0;994;994;1127627;1;2209;1.32658;850028;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;66/1;1;217912;1198605;0;307;307;178729;1;2209;0.21023;850158;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;67/1;1;584469;654225;0;526;526;629461;1;2209;0.764206;823680;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;68/1;1;723535;1469815;0;481;481;648777;1;2209;0.820433;790774;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;69/1;1;622713;445772;0;860;860;840098;1;2209;1.04598;803165;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;70/1;1;395356;1319491;0;823;823;885572;1;2209;1.06532;831275;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;71/1;1;573944;430702;0;589;589;479901;1;2209;0.547396;876698;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;72/1;1;833312;505562;0;495;495;563542;1;2209;0.664711;847800;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;73/1;1;1244150;544736;0;242;242;272707;1;2209;0.340238;801518;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;74/1;1;1026975;839836;0;1304;1304;1316056;1;2209;1.46634;897509;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;75/1;1;630765;110404;0;873;873;1113898;1;2209;1.38595;803705;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;76/1;1;111490;1467336;0;550;550;457213;1;2209;0.538105;849673;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;77/1;1;91461;184621;0;632;632;559635;1;2209;0.6271;892418;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;78/1;1;692734;1005609;0;733;733;920043;1;2209;1.12829;815428;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;79/1;1;978398;1511116;0;1514;1514;1420597;1;2209;1.59384;891306;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;80/1;1;1162369;1446160;0;1539;1539;1502381;1;2209;1.74916;858916;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;81/1;1;196054;1012336;0;470;470;503728;1;2209;0.597974;842391;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;82/1;1;96816;1502582;0;804;804;896948;1;2209;1.04469;858578;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;83/1;1;1139374;1023766;0;324;324;260545;1;2209;0.293951;886356;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;84/1;1;809121;64277;0;334;334;330028;1;2209;0.395746;833938;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;85/1;1;1105831;1417428;0;1114;1114;676905;1;2209;0.739065;915894;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;86/1;1;884517;264395;0;1587;1587;1441245;1;2209;1.61236;893872;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;87/1;1;99878;34982;0;232;232;157267;1;2209;0.178499;881053;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;88/1;1;1505770;1189111;0;1095;1095;1216197;1;2209;1.43732;846156;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;89/1;1;1298998;188517;0;829;829;1154954;1;2209;1.39206;829675;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;90/1;1;1148362;968957;0;1480;1480;1439646;1;2209;1.59502;902588;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;91/1;1;404528;858449;0;317;317;269273;1;2209;0.318212;846207;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;92/1;1;238316;911109;0;1309;1309;1213079;1;2209;1.36069;891515;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;93/1;1;182850;1056953;0;960;960;598384;1;2209;0.654313;914523;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;94/1;1;379236;586997;0;844;844;928851;1;2209;1.09864;845454;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;95/1;1;480225;684706;0;368;368;480916;1;2209;0.610936;787179;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;96/1;1;1517360;1216445;0;987;987;816282;1;2209;0.947252;861737;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;97/1;1;572830;1465824;0;266;266;88956;1;2209;0.108016;823545;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;98/1;1;1291040;267998;0;1086;1086;1417112;1;2209;1.67579;845637;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;99/1;1;422050;386397;0;458;458;623312;1;2209;0.767544;812087;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;0/2;2;1472205;1037501;0;1104;1104;1281554;1;2209;1.48455;863263;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/2;2;840261;665095;0;515;515;636691;1;2209;0.752445;846163;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/2;2;1113303;159676;0;551;551;676023;1;2209;0.809923;834675;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/2;2;170927;936423;0;1325;1325;1100012;1;2209;1.25902;873702;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/2;2;1089842;933368;0;938;938;1050776;1;2209;1.23103;853576;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/2;2;754643;1448642;0;945;945;1021559;1;2209;1.25369;814841;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/2;2;744848;55159;0;767;767;716995;1;2209;0.941107;761864;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/2;2;1066240;613162;0;676;676;855358;1;2209;1.04287;820197;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/2;2;892607;946543;0;340;340;209253;1;2209;0.241088;867954;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/2;2;1245397;1102353;0;1659;1659;1520711;1;2211;1.79327;848009;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/2;2;42548;622075;0;740;740;998589;1;2211;1.19499;835647;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/2;2;1234612;1499257;0;367;367;404724;1;2211;0.494263;818844;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/2;2;337131;79712;0;655;655;511743;1;2211;0.558785;915814;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/2;2;359225;43209;0;553;553;845470;1;2211;1.07285;788056;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/2;2;1281094;1427749;0;521;521;807201;1;2211;1.02648;786378;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/2;2;430711;346325;0;1429;1429;1472620;1;2211;1.75544;838889;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/2;2;1286522;1346508;0;283;283;345948;1;2211;0.419793;824091;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/2;2;543105;1060109;0;841;841;1127685;1;2211;1.37806;818311;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/2;2;720307;163788;0;1007;1007;1438040;1;2211;1.71799;837049;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/2;2;951174;105559;0;231;231;248332;1;2211;0.298945;830694;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/2;2;1238169;133741;0;1690;1690;1500342;1;2211;1.78424;840887;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/2;2;732959;1232599;0;627;627;572472;1;2211;0.688735;831193;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/2;2;428635;901254;0;346;346;484545;1;2211;0.625396;774781;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/2;2;677786;1305669;0;295;295;237932;1;2211;0.277641;856976;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/2;2;1061490;756533;0;820;820;1047236;1;2211;1.22045;858075;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/2;2;797834;613193;0;471;471;468584;1;2211;0.569031;823478;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/2;2;209950;596109;0;827;827;618734;1;2211;0.694787;890538;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/2;2;1199260;869047;0;1454;1454;1404863;1;2211;1.55731;902106;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/2;2;1286923;376349;0;264;264;249610;1;2211;0.291638;855890;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/2;2;123295;434095;0;1478;1478;1256600;1;2211;1.42431;882253;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/2;2;562796;1211165;0;555;555;462064;1;2211;0.544626;848406;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/2;2;627055;287907;0;896;896;1122331;1;2211;1.39414;805034;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/2;2;1425837;880809;0;233;233;96025;1;2211;0.113411;846696;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/2;2;688933;322817;0;698;698;1166934;1;2211;1.50422;775776;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/2;2;1249136;275614;0;1384;1384;1466380;1;2211;1.75865;833811;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/2;2;887830;1459081;0;262;262;191318;1;2211;0.239164;799946;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/2;2;1458335;847567;0;209;209;147667;1;2211;0.173633;850455;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/2;2;998229;333252;0;1168;1168;1379685;1;2211;1.60961;857155;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/2;2;66963;453054;0;776;776;1024606;1;2211;1.24619;822188;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/2;2;1056118;711207;0;519;519;537730;1;2211;0.687578;782064;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/2;2;156333;548644;0;1234;1234;968213;1;2211;1.1373;851324;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/2;2;653850;1205339;0;1203;1203;1450146;1;2211;1.83045;792237;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/2;2;524389;607798;0;568;568;837750;1;2211;1.04805;799343;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/2;2;65626;436159;0;847;847;1203267;1;2211;1.46236;822827;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/2;2;1111042;952937;0;944;944;1306504;1;2211;1.58958;821920;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/2;2;265278;1131380;0;489;489;326330;1;2211;0.37537;869355;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/2;2;1326409;489661;0;1043;1043;1402921;1;2211;1.70639;822156;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/2;2;1495365;328022;0;1303;1303;1274579;1;2211;1.49458;852800;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/2;2;117811;1078105;0;963;963;505320;1;2211;0.57096;885036;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/2;2;852370;624417;0;881;881;1018556;1;2211;1.21428;838811;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/2;2;597288;351639;0;339;339;282315;1;2211;0.334136;844910;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/2;2;1037036;854011;0;1188;1188;1309617;1;2211;1.48919;879418;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/2;2;352236;77547;0;521;521;758414;1;2211;1.01972;743746;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/2;2;1258144;1499601;0;510;510;632117;1;2211;0.779243;811194;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/2;2;416381;97723;0;1150;1150;1134926;1;2211;1.35474;837742;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/2;2;144271;858266;0;819;819;1196169;1;2211;1.47048;813455;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;56/2;2;473992;144045;0;510;510;833761;1;2211;1.08703;767008;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;57/2;2;578201;865033;0;559;559;401159;1;2211;0.485817;825742;BELA0;? Unchecked;v1.6.0-12-g7668b80
