domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1472205;1037501;0;1104;1104;1281554;0;1428;1.47981;866023;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;840261;665095;0;515;515;636691;0;1462;0.685309;929056;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;1113303;159676;0;551;551;676023;0;1474;0.734913;919868;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;170927;936423;0;1325;1325;1100012;0;1495;1.11471;986816;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1089842;933368;0;938;938;1050776;0;1499;1.07435;978054;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;754643;1448642;0;945;945;1021559;0;1499;1.10195;927048;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;744848;55159;0;767;767;716995;0;1499;0.833251;860479;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;1066240;613162;0;676;676;855358;0;1499;0.922712;927004;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;892607;946543;0;340;340;209253;0;1499;0.222838;939038;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;1245397;1102353;0;1659;1659;1520711;0;1730;1.62866;933717;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;42548;622075;0;740;740;998589;0;1749;1.06067;941469;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;1234612;1499257;0;367;367;404724;0;1749;0.455093;889321;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;337131;79712;0;655;655;511743;0;1749;0.511147;1.00117e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;359225;43209;0;553;553;845470;0;1751;0.937895;901455;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;1281094;1427749;0;521;521;807201;0;1751;0.89823;898657;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;430711;346325;0;1429;1429;1472620;0;1752;1.55747;945520;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;1286522;1346508;0;283;283;345948;0;1752;0.369132;937194;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;543105;1060109;0;841;841;1127685;0;1752;1.1451;984794;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;720307;163788;0;1007;1007;1438040;0;1855;1.49222;963693;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;951174;105559;0;231;231;248332;0;1855;0.272407;911621;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;1238169;133741;0;1690;1690;1500342;0;1947;1.57693;951431;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;732959;1232599;0;627;627;572472;0;1950;0.604397;947179;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;428635;901254;0;346;346;484545;0;1950;0.553091;876067;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;677786;1305669;0;295;295;237932;0;1950;0.254279;935713;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1061490;756533;0;820;820;1047236;0;1952;1.06828;980299;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;797834;613193;0;471;471;468584;0;1953;0.504366;929055;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;209950;596109;0;827;827;618734;0;1953;0.609051;1.0159e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;1199260;869047;0;1454;1454;1404863;0;1953;1.35548;1.03643e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;1286923;376349;0;264;264;249610;0;1953;0.267643;932622;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;123295;434095;0;1478;1478;1256600;0;1953;1.23463;1.01779e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;562796;1211165;0;555;555;462064;0;1953;0.491896;939353;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;627055;287907;0;896;896;1122331;0;1953;1.18835;944441;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;1425837;880809;0;233;233;96025;0;1953;0.104347;920246;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;688933;322817;0;698;698;1166934;0;1953;1.25025;933358;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;1249136;275614;0;1384;1384;1466380;0;1991;1.51921;965227;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;887830;1459081;0;262;262;191318;0;1991;0.216511;883642;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;1458335;847567;0;209;209;147667;0;1991;0.157505;937541;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;998229;333252;0;1168;1168;1379685;0;1991;1.37473;1.0036e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;66963;453054;0;776;776;1024606;0;1991;1.0794;949233;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;1056118;711207;0;519;519;537730;0;1991;0.595185;903467;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;156333;548644;0;1234;1234;968213;0;1991;0.97678;991229;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;653850;1205339;0;1203;1203;1450146;0;1991;1.57471;920896;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;524389;607798;0;568;568;837750;0;1991;0.89679;934165;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;65626;436159;0;847;847;1203267;0;1991;1.2433;967802;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;1111042;952937;0;944;944;1306504;0;1991;1.35564;963757;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;265278;1131380;0;489;489;326330;0;1991;0.341004;956967;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;1326409;489661;0;1043;1043;1402921;0;1991;1.42399;985207;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;1495365;328022;0;1303;1303;1274579;0;1991;1.29292;985818;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;117811;1078105;0;963;963;505320;0;1991;0.514963;981274;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;852370;624417;0;881;881;1018556;0;1991;1.06679;954783;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;597288;351639;0;339;339;282315;0;1991;0.30952;912106;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;1037036;854011;0;1188;1188;1309617;0;1991;1.29578;1.01068e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;352236;77547;0;521;521;758414;0;1991;0.87613;865641;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;53/1;1;1258144;1499601;0;510;510;632117;0;1991;0.670888;942210;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;54/1;1;416381;97723;0;1150;1150;1134926;0;1991;1.17276;967736;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;55/1;1;144271;858266;0;819;819;1196169;0;1991;1.25059;956482;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
