domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1184114;193764;0;734;734;718617;0;1341;1.93826;370754;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;457060;1134187;0;588;588;516965;0;1342;1.26279;409385;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;648367;958789;0;402;402;122112;0;1342;0.267308;456822;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;485078;567556;0;994;994;930638;0;1599;2.22953;417415;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1175334;1035537;0;537;537;238858;0;1599;0.558078;428001;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;626886;437084;0;601;601;515633;0;1599;1.29173;399182;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;635719;734204;0;739;739;783488;0;1599;1.92269;407497;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;316104;997118;0;918;918;872543;0;1599;2.02258;431401;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;47649;976084;0;986;986;718856;0;1599;1.84638;389332;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;915484;1137906;0;544;544;214612;0;1599;0.479874;447226;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;72419;669854;0;1014;1014;989754;0;1702;2.46207;402001;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;1121375;296229;0;605;605;509535;0;1702;1.22166;417085;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;873937;1184806;0;604;604;399303;0;1702;0.904954;441241;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;193531;355264;0;227;227;94150;0;1702;0.199054;472987;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;147031;633056;0;471;471;285658;0;1702;0.705922;404660;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;362446;482465;0;505;505;375068;0;1702;0.886114;423273;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;770308;417500;0;1352;1352;1105081;0;1875;2.80374;394146;K0;? Unchecked;v1.6.0-12-g7668b80
