domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1184114;193764;0;734;734;719117;1;1112;0.94872;757986;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;457060;1134187;0;588;588;516496;1;1147;0.583544;885101;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;648367;958789;0;402;402;121632;1;1158;0.132418;918543;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;485078;567556;0;994;994;929643;1;1338;1.06432;873458;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1175334;1035537;0;537;537;238683;1;1342;0.260041;917866;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;626886;437084;0;601;601;516892;1;1348;0.56768;910533;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;635719;734204;0;739;739;783037;1;1367;0.88808;881719;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;316104;997118;0;918;918;872148;1;1453;0.940273;927547;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;47649;976084;0;986;986;717183;1;1458;0.835849;858030;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;915484;1137906;0;544;544;214231;1;1458;0.248423;862364;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;72419;669854;0;1014;1014;990296;1;1590;1.08294;914454;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;1121375;296229;0;605;605;508814;1;1601;0.559737;909023;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;873937;1184806;0;604;604;399122;1;1601;0.43021;927738;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;193531;355264;0;227;227;93497;1;1601;0.104918;891143;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;147031;633056;0;471;471;285259;1;1601;0.321434;887458;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;362446;482465;0;505;505;375097;1;1601;0.422848;887073;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;770308;417500;0;1352;1352;1105035;1;1610;1.18489;932607;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;908330;720411;0;251;251;118163;1;1610;0.133949;882152;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;1038933;130295;0;521;521;553890;1;1610;0.60547;914809;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;652846;858648;0;485;485;387484;1;1610;0.443599;873502;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;676969;283827;0;1261;1261;1142200;1;1640;1.20475;948077;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;910826;680529;0;489;489;535398;1;1640;0.621256;861800;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;515058;865076;0;769;769;899715;1;1640;1.00022;899520;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;348482;108720;0;864;864;624832;1;1640;0.660746;945646;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;1204965;881288;0;476;476;460916;1;1640;0.538979;855165;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;907042;523545;0;387;387;313158;1;1640;0.350741;892846;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;752817;293040;0;666;666;547413;1;1640;0.582915;939096;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;491779;520998;0;960;960;865250;1;1640;0.97434;888037;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;1009615;1162067;0;559;559;136358;1;1640;0.149086;914629;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;701030;1127091;0;875;875;656345;1;1640;0.682841;961198;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;472756;557148;0;208;208;95538;1;1640;0.111857;854112;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;155407;436004;0;277;277;121132;1;1640;0.135937;891087;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;456711;311070;0;753;753;837238;1;1640;0.945815;885202;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;442126;981906;0;629;629;593272;1;1640;0.646884;917123;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;245025;364323;0;538;538;504131;1;1640;0.552702;912121;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;5294;359682;0;745;745;342491;1;1640;0.365628;936720;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;971272;420382;0;765;765;459018;1;1640;0.494517;928215;BELA0;? Unchecked;v1.6.0-12-g7668b80
