domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;1184114;193764;0;734;734;719117;0;741;0.856939;839169;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;457060;1134187;0;588;588;516496;0;853;0.54992;939220;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;648367;958789;0;402;402;121632;0;854;0.132947;914893;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;485078;567556;0;994;994;929643;0;1088;0.996262;933131;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;1175334;1035537;0;537;537;238683;0;1088;0.239336;997270;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;626886;437084;0;601;601;516892;0;864;0.519532;994918;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;635719;734204;0;739;739;783037;0;977;0.846657;924857;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;316104;997118;0;918;918;872148;0;1169;0.878815;992413;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;47649;976084;0;986;986;717183;0;1175;0.768387;933362;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;915484;1137906;0;544;544;214231;0;1175;0.222649;962191;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;72419;669854;0;1014;1014;990296;0;1277;0.98931;1.001e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;1121375;296229;0;605;605;508814;0;1284;0.515314;987387;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;873937;1184806;0;604;604;399122;0;1287;0.398388;1.00184e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;193531;355264;0;227;227;93497;0;1287;0.0967204;966673;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;147031;633056;0;471;471;285259;0;1287;0.306781;929846;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;362446;482465;0;505;505;375097;0;1287;0.392329;956079;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;770308;417500;0;1352;1352;1105035;0;1293;1.08836;1.01533e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;908330;720411;0;251;251;118163;0;1293;0.121785;970256;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;1038933;130295;0;521;521;553890;0;1293;0.553628;1.00047e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
