domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;185304;78004;0;515;515;255354;0;474;0.727543;350981;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;75504;232776;0;332;332;143553;0;474;0.340009;422204;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;164668;56964;0;390;390;217276;0;474;0.568469;382212;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;185932;65044;0;433;433;232087;0;474;0.607082;382299;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;260054;76690;0;462;462;241197;0;474;0.606116;397939;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;208831;68322;0;354;354;204781;0;474;0.551275;371468;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;171352;103936;0;414;414;178506;0;474;0.432532;412700;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;67586;5493;0;448;448;248351;0;474;0.62249;398964;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;240171;101021;0;342;342;231640;0;474;0.613683;377459;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;8686;57324;0;382;382;254635;0;474;0.64156;396900;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;70116;192949;0;389;389;238305;0;474;0.612869;388835;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;62502;51055;0;219;219;68023;0;474;0.14564;467064;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;259123;74258;0;415;415;223901;0;474;0.581271;385192;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;155875;101452;0;495;495;243705;0;474;0.615666;395840;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;260290;94483;0;348;348;179088;0;474;0.423968;422410;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;158172;231849;0;309;309;103935;0;474;0.268437;387186;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;173317;97062;0;519;519;237215;0;474;0.607126;390718;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;86025;11504;0;357;357;128623;0;474;0.309334;415807;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;159691;41106;0;404;404;150900;0;474;0.360199;418935;K0;? Unchecked;v1.6.0-12-g7668b80
