domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;185304;78004;0;515;515;255470;1;366;0.341983;747025;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;75504;232776;0;332;332;143546;1;376;0.171618;836428;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;164668;56964;0;390;390;217083;1;405;0.25577;848743;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;185932;65044;0;433;433;232381;1;409;0.265438;875463;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;260054;76690;0;462;462;240904;1;425;0.271762;886453;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;208831;68322;0;354;354;204738;1;426;0.241786;846773;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;171352;103936;0;414;414;178745;1;427;0.215629;828949;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;67586;5493;0;448;448;248543;1;432;0.27597;900617;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;240171;101021;0;342;342;231725;1;433;0.265696;872145;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;8686;57324;0;382;382;254590;1;441;0.290276;877061;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;70116;192949;0;389;389;237774;1;441;0.268493;885587;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;62502;51055;0;219;219;67932;1;441;0.0767917;884626;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;259123;74258;0;415;415;223782;1;441;0.26192;854391;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;155875;101452;0;495;495;243250;1;441;0.270989;897639;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;260290;94483;0;348;348;179081;1;441;0.213502;838781;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;158172;231849;0;309;309;104010;1;441;0.126977;819126;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;173317;97062;0;519;519;236822;1;441;0.311394;760522;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;86025;11504;0;357;357;128528;1;441;0.146937;874713;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;159691;41106;0;404;404;150043;1;441;0.176034;852350;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;137601;92107;0;299;299;203777;1;441;0.243098;838249;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;167163;120829;0;350;350;140112;1;441;0.165238;847938;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;91132;107074;0;376;376;164745;1;441;0.187778;877340;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;67727;19338;0;300;300;108684;1;441;0.127941;849483;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;60442;259746;0;466;466;227674;1;441;0.2578;883142;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;103204;263077;0;383;383;203322;1;441;0.236228;860703;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;207887;73900;0;336;336;191073;1;441;0.227909;838375;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;158034;38934;0;436;436;184076;1;441;0.219613;838185;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;119514;262143;0;386;386;201468;1;441;0.233093;864326;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;133416;95500;0;351;351;240552;1;441;0.274636;875894;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;222955;118711;0;404;404;259485;1;445;0.297707;871611;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;174388;6652;0;318;318;147879;1;445;0.173995;849904;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;66450;155619;0;496;496;249675;1;445;0.276901;901676;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;41744;256787;0;421;421;224145;1;486;0.274592;816284;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;246406;117343;0;426;426;259057;1;489;0.290285;892423;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;159112;109571;0;482;482;235807;1;489;0.265315;888781;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;154540;118595;0;536;536;259786;1;489;0.286036;908230;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;43852;261229;0;358;358;206748;1;489;0.242288;853316;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;176196;131165;0;385;385;170619;1;489;0.196333;869027;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;92944;91684;0;473;473;251071;1;489;0.282483;888799;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;116170;205917;0;368;368;186531;1;489;0.223277;835423;BELA0;? Unchecked;v1.6.0-12-g7668b80
