domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;unit;0/1;1;185304;78004;0;515;515;255470;0;294;0.300027;851489;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;1/1;1;75504;232776;0;332;332;143546;0;200;0.152334;942311;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;2/1;1;164668;56964;0;390;390;217083;0;314;0.244988;886095;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;3/1;1;185932;65044;0;433;433;232381;0;324;0.253865;915372;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;4/1;1;260054;76690;0;462;462;240904;0;337;0.251748;956924;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;5/1;1;208831;68322;0;354;354;204738;0;338;0.217283;942264;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;6/1;1;171352;103936;0;414;414;178745;0;338;0.203558;878105;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;7/1;1;67586;5493;0;448;448;248543;0;342;0.271431;915677;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;8/1;1;240171;101021;0;342;342;231725;0;342;0.239623;967039;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;9/1;1;8686;57324;0;382;382;254590;0;348;0.25854;984723;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;10/1;1;70116;192949;0;389;389;237774;0;349;0.24083;987312;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;11/1;1;62502;51055;0;219;219;67932;0;349;0.0745225;911564;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;12/1;1;259123;74258;0;415;415;223782;0;349;0.231344;967311;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;13/1;1;155875;101452;0;495;495;243250;0;349;0.248098;980458;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;14/1;1;260290;94483;0;348;348;179081;0;349;0.192593;929841;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;15/1;1;158172;231849;0;309;309;104010;0;349;0.11217;927255;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;16/1;1;173317;97062;0;519;519;236822;0;349;0.244482;968669;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;17/1;1;86025;11504;0;357;357;128528;0;349;0.131357;978465;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;18/1;1;159691;41106;0;404;404;150043;0;349;0.154883;968749;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;19/1;1;137601;92107;0;299;299;203777;0;349;0.218587;932247;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;20/1;1;167163;120829;0;350;350;140112;0;349;0.148937;940748;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;21/1;1;91132;107074;0;376;376;164745;0;349;0.167591;983017;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;22/1;1;67727;19338;0;300;300;108684;0;349;0.114049;952960;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;23/1;1;60442;259746;0;466;466;227674;0;349;0.231834;982054;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;24/1;1;103204;263077;0;383;383;203322;0;349;0.213373;952893;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;25/1;1;207887;73900;0;336;336;191073;0;349;0.222047;860506;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;26/1;1;158034;38934;0;436;436;184076;0;349;0.196915;934801;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;27/1;1;119514;262143;0;386;386;201468;0;349;0.209702;960735;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;28/1;1;133416;95500;0;351;351;240552;0;349;0.254238;946168;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;29/1;1;222955;118711;0;404;404;259485;0;351;0.261677;991622;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;30/1;1;174388;6652;0;318;318;147879;0;351;0.157445;939243;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;31/1;1;66450;155619;0;496;496;249675;0;351;0.249274;1.00161e+06;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;32/1;1;41744;256787;0;421;421;224145;0;351;0.234882;954289;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;33/1;1;246406;117343;0;426;426;259057;0;355;0.260528;994355;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;34/1;1;159112;109571;0;482;482;235807;0;355;0.240594;980104;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;35/1;1;154540;118595;0;536;536;259786;0;387;0.26382;984708;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;36/1;1;43852;261229;0;358;358;206748;0;387;0.21785;949040;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;37/1;1;176196;131165;0;385;385;170619;0;387;0.176658;965815;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;38/1;1;92944;91684;0;473;473;251071;0;387;0.256039;980598;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;39/1;1;116170;205917;0;368;368;186531;0;387;0.20261;920641;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;40/1;1;167490;125416;0;396;396;195855;0;387;0.241452;811156;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;41/1;1;150465;262664;0;373;373;242269;0;387;0.247938;977136;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;42/1;1;171058;67916;0;503;503;228075;0;387;0.231741;984179;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;43/1;1;8423;71279;0;327;327;212458;0;387;0.225411;942536;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;44/1;1;177607;103006;0;518;518;239181;0;387;0.241542;990227;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;45/1;1;255475;124116;0;416;416;229307;0;387;0.23572;972794;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;46/1;1;154599;263081;0;370;370;153852;0;387;0.179637;856462;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;47/1;1;6764;171272;0;413;413;255931;0;387;0.258655;989470;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;48/1;1;260804;56417;0;381;381;161880;0;387;0.165786;976441;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;49/1;1;234261;97162;0;288;288;141505;0;387;0.147862;957008;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;50/1;1;57292;23118;0;295;295;95096;0;387;0.101551;936437;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;51/1;1;118879;149439;0;445;445;215508;0;387;0.230564;934698;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;unit;52/1;1;84220;1755;0;562;562;246619;0;387;0.24919;989681;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
